Edad,Ingreso_Anual,Deudas_Activas,Puntaje_Credito,Aprobado
44,62865,0,571,1
26,73811,4,412,1
25,24001,0,693,1
43,80848,2,318,0
52,72635,1,764,1
68,40946,0,490,0
48,86134,3,792,1
62,63744,3,462,1
41,59159,1,594,0
45,43671,0,372,0
47,36450,1,608,1
69,34908,2,601,0
40,77275,1,607,0
68,64358,2,423,0
26,69047,3,560,1
36,55518,2,494,0
39,77813,0,650,1
60,26806,0,788,1
68,60891,0,499,1
39,59220,0,807,0
41,37158,4,745,1
47,47588,2,379,0
59,82576,0,768,1
68,44188,1,741,1
26,78830,1,571,1
20,24019,4,642,1
51,32419,2,423,1
32,53697,2,522,0
49,27973,2,789,1
42,31136,4,596,0
38,82502,2,418,0
51,51285,2,375,0
49,43039,0,557,1
48,86720,2,831,0
68,79155,0,650,1
64,36911,0,576,1
48,20916,2,554,1
49,79052,1,563,1
35,89110,3,328,0
59,37790,1,766,1
38,25206,2,334,1
37,69950,2,593,1
20,76361,1,502,0
33,81451,2,367,0
66,57696,0,430,1
69,88226,4,410,0
21,66728,2,823,0
47,75401,2,587,0
68,86226,1,342,0
69,45103,0,593,0
49,54263,1,584,1
57,96621,1,318,1
23,70044,2,806,0
20,77730,0,846,0
27,45825,2,347,1
48,96256,2,518,0
58,57271,2,487,1
22,97256,2,330,0
51,66732,4,558,0
29,86433,3,643,1
29,43572,0,607,1
38,58546,4,370,1
65,35150,3,606,0
53,74165,3,398,0
52,83690,3,320,1
42,73664,4,305,1
47,95199,0,530,0
51,56948,1,381,1
69,57030,3,516,1
26,47007,1,634,1
48,96772,1,758,0
27,42024,2,386,1
20,59384,1,814,0
22,38157,2,812,1
43,21756,0,777,0
42,88112,0,797,1
27,78051,2,748,0
66,84595,0,559,0
56,98210,3,836,0
22,63094,0,499,0
52,24535,2,762,0
47,76035,3,393,0
66,67367,1,651,1
27,37118,1,407,1
53,79812,1,654,1
54,79884,2,768,0
51,86168,1,394,0
43,33280,0,390,0
33,34746,1,343,1
51,73251,4,755,0
65,30207,4,683,1
62,91127,1,322,0
35,47757,1,322,1
23,36226,4,533,0
56,81407,1,610,0
40,47206,3,716,1
33,40256,4,632,1
50,53822,2,402,1
67,61340,4,799,0
37,72234,0,782,1
26,63351,3,488,1
29,68671,2,759,0
26,95320,1,488,0
52,55157,0,650,1
42,39937,0,413,1
40,74290,3,403,1
38,66707,2,807,1
67,31219,0,644,0
38,29399,2,320,1
55,47657,2,686,1
48,40047,0,508,1
37,96095,2,782,1
21,92154,3,772,1
20,64891,0,692,0
66,26780,3,815,0
24,47050,3,487,0
39,93551,2,645,1
30,88666,2,651,0
61,73010,0,840,1
21,58165,1,346,0
22,31528,0,376,0
42,69608,3,642,1
31,25914,2,490,1
39,57136,3,842,0
24,31179,4,335,1
56,32076,4,723,0
57,44783,3,650,0
49,66716,1,487,0
28,70298,1,826,1
53,74304,0,633,0
63,99360,0,782,1
54,89835,0,515,1
41,28118,2,457,0
63,96292,1,540,0
43,76911,3,595,0
36,93489,4,761,1
29,35185,1,344,1
49,61792,1,794,1
65,70613,1,474,0
42,53927,0,645,0
51,20386,2,355,0
36,92728,3,640,0
69,96281,0,407,0
36,50020,2,513,1
33,62678,1,798,1
28,81394,2,696,1
59,88945,0,849,0
21,76414,1,796,0
64,74816,0,472,0
44,75918,3,404,0
58,82694,1,778,1
28,49455,2,698,0
41,58735,0,733,1
62,32109,4,493,1
65,65802,2,765,0
23,88020,2,640,1
45,54622,1,358,1
48,22597,2,837,0
64,60597,0,777,1
53,60954,4,402,0
42,89519,3,832,1
56,76115,4,621,0
30,63151,0,848,0
25,37040,1,313,0
37,64772,0,755,1
40,83832,2,520,0
61,47916,1,690,0
55,64871,3,472,0
60,46372,3,380,0
57,81707,0,635,1
53,59080,2,524,1
36,62722,3,334,1
56,49048,4,487,1
44,29777,1,523,1
57,74711,4,793,1
31,56331,3,610,1
42,40968,3,820,0
61,73969,0,839,0
41,31292,0,668,1
40,60794,1,774,1
46,99459,0,330,1
50,70192,2,531,0
25,47703,1,796,1
46,89165,2,474,1
59,87650,0,597,0
53,76516,1,664,0
31,42257,3,385,0
64,71672,4,388,1
26,83308,3,353,1
29,97583,2,660,1
64,42113,3,775,0
36,20694,3,528,1
45,35588,4,833,0
40,81756,4,672,0
47,84085,3,768,0
65,81142,4,719,1
21,84373,3,831,0
62,26704,1,699,0
20,60136,3,483,0
55,87507,0,389,0
45,67361,4,682,1
48,78847,4,668,1
40,31441,2,373,1
30,34677,2,568,1
59,47818,0,314,1
30,21868,4,628,1
55,87264,4,691,0
68,93168,2,733,1
58,32043,2,643,0
59,91939,3,494,1
54,35732,4,335,1
53,75244,4,504,0
66,38526,3,356,0
43,29340,4,409,0
41,42394,0,795,0
24,24102,2,524,1
52,39159,2,685,1
55,85092,2,363,1
66,26212,1,651,1
39,57405,0,762,0
38,97061,0,619,0
54,75186,3,656,1
62,64239,1,392,1
36,30532,4,599,1
64,99054,0,793,0
62,92012,1,688,1
53,86540,1,733,1
28,23271,0,401,1
45,65482,3,677,1
21,20209,1,637,1
28,25539,2,791,0
28,39977,1,359,1
59,94142,4,808,0
36,88684,0,691,0
20,25607,4,418,1
44,71939,3,770,0
62,38594,2,627,0
59,78382,0,320,0
61,27399,1,396,1
44,45117,2,812,0
58,53617,1,649,0
54,27498,3,431,0
22,70624,0,845,1
69,29628,3,331,0
56,20329,3,558,1
63,58619,3,775,0
63,27032,3,332,1
49,68094,1,687,0
57,58034,4,755,1
53,75264,1,443,1
31,67850,2,523,0
38,24722,3,516,1
56,37772,2,455,1
63,61679,1,819,0
68,88771,3,335,1
36,24576,1,308,1
29,46707,3,339,0
68,61632,1,768,0
66,61476,0,478,1
31,50285,4,800,1
35,44154,4,672,1
43,40054,3,367,1
38,37165,0,723,0
27,34439,2,814,0
50,64518,0,663,1
40,46962,3,750,1
36,73934,0,815,0
42,57763,2,628,1
56,84094,3,669,1
35,39464,4,686,1
25,62036,0,846,0
27,53270,4,413,0
44,62299,4,337,1
37,51541,1,844,1
44,93545,2,676,0
31,97078,0,698,1
34,49765,4,502,0
45,43769,4,501,0
60,40156,2,399,0
64,70481,4,697,0
45,33435,4,749,1
66,89650,4,417,1
51,66336,4,720,0
29,56135,1,542,1
35,93631,1,840,1
26,57909,3,526,0
36,89487,0,800,1
42,41468,2,512,1
45,67655,3,412,1
40,54341,1,672,1
41,84182,1,598,0
26,71786,1,318,0
33,88304,3,310,1
34,66514,1,307,1
26,53979,3,452,0
28,75107,1,849,0
67,21160,4,434,1
27,92577,4,672,0
69,30846,0,760,0
42,39924,1,534,0
48,33882,0,554,0
37,21095,3,627,0
50,60983,0,661,1
49,34123,1,673,0
58,86615,3,508,1
54,65278,3,566,1
37,71999,4,805,1
61,51153,3,720,1
58,38344,3,607,1
36,57656,0,436,0
33,90515,3,718,0
50,21212,2,494,0
43,29001,4,394,0
54,98784,4,789,1
63,56427,3,557,1
64,51368,0,324,0
53,90819,4,531,1
22,81160,4,631,1
56,45854,2,520,0
62,30715,3,596,1
59,78784,4,502,1
45,46797,4,642,0
42,67573,4,504,1
63,96120,4,376,1
58,34780,0,849,0
34,57905,1,341,1
68,41573,2,754,1
23,53359,0,481,0
48,86062,2,494,1
41,93391,4,687,1
44,63463,2,440,1
32,36571,3,326,1
37,39142,3,614,1
52,45104,1,620,0
35,28625,1,747,1
64,59199,2,592,1
61,35926,0,535,0
63,51218,0,756,1
21,64472,4,366,1
54,40566,0,475,0
61,76125,1,809,1
53,53205,0,390,1
49,49717,4,465,1
32,69984,3,737,0
32,45135,0,350,1
37,48164,0,565,1
51,94489,1,820,1
51,58562,2,386,1
54,89110,3,351,1
58,40169,2,478,0
65,79858,4,577,1
48,41604,4,538,0
68,20684,2,638,0
48,28007,1,371,0
63,61787,1,673,1
35,69582,1,816,0
63,94791,3,537,0
66,25782,4,765,0
29,86770,4,420,1
49,77645,4,712,1
44,51996,3,342,0
58,49204,4,803,1
39,37152,2,496,0
24,75186,0,371,0
20,39689,3,390,0
49,70690,0,848,0
68,77320,2,790,1
22,84226,1,682,0
64,76091,1,765,1
33,99301,1,453,1
49,41942,3,469,0
69,58712,1,571,0
23,85277,3,409,1
37,69632,3,450,0
56,58031,0,730,0
44,40478,1,750,0
67,42551,4,322,1
20,68068,1,666,1
65,55561,1,538,0
34,22892,1,733,0
28,44395,4,426,0
34,38756,4,840,0
68,54651,3,497,0
43,86333,4,781,1
23,93745,3,478,0
31,69306,0,822,0
56,41346,3,736,0
56,48024,1,613,0
62,60818,2,318,1
25,25947,2,459,0
58,95153,1,421,0
65,87428,3,371,0
43,49754,1,354,0
30,83355,4,759,1
32,78241,3,468,0
53,88960,1,448,0
44,33418,4,325,0
26,75184,4,547,1
23,24833,3,526,1
27,95430,0,783,1
39,61833,0,309,0
48,20565,4,394,1
64,60180,0,420,0
65,38402,4,425,1
29,62845,0,848,1
62,95851,4,368,1
53,32834,4,596,0
45,87850,4,800,0
60,57180,4,344,0
68,23883,2,681,0
22,95587,0,326,1
25,31695,4,796,0
24,43123,1,435,1
24,78481,3,348,1
66,93438,1,806,0
42,37573,1,420,0
68,76494,2,516,1
28,32288,0,825,1
54,66978,2,342,0
39,92420,0,395,0
68,96095,4,326,1
61,74672,2,541,1
54,81821,3,786,1
69,89224,0,539,1
37,74796,2,603,1
36,64706,3,366,0
43,24023,1,580,1
22,56735,4,491,1
51,92959,4,418,0
54,59218,1,451,1
57,32213,2,691,0
32,48460,1,530,0
66,84680,3,650,1
44,51017,0,828,0
28,50990,2,470,0
23,39515,0,431,0
33,49991,1,656,0
56,27634,4,341,1
53,97034,0,604,0
30,96452,0,305,0
60,49377,4,628,0
22,53001,0,469,1
47,21391,0,637,1
48,85206,4,368,1
28,62215,4,838,1
22,99720,1,806,0
44,47114,1,785,1
53,31882,0,742,0
31,37273,2,350,0
61,65647,1,448,1
28,84892,1,391,0
34,62679,2,667,0
59,20427,2,375,0
44,86267,4,385,1
24,20799,1,526,0
30,75659,3,662,1
53,27025,3,323,0
43,34481,0,327,1
34,45411,1,420,1
57,34961,3,789,1
27,41767,1,644,1
24,71690,1,330,1
67,72870,3,526,0
45,56135,1,549,1
37,84514,2,349,0
25,98798,0,688,1
56,90765,4,587,1
67,43772,3,774,1
32,38799,4,305,0
47,43555,0,711,1
24,39333,2,623,0
32,24261,2,698,1
36,89002,2,581,0
69,66553,2,490,1
59,23088,3,799,1
64,65783,3,733,0
51,21115,1,362,1
48,90114,1,752,0
22,88126,0,792,1
59,92908,1,741,1
53,89109,0,606,0
59,22978,0,425,1
46,29422,0,564,1
32,63626,2,306,0
64,76174,4,712,1
52,57743,4,505,1
25,90461,3,478,0
43,77199,0,767,0
38,49430,2,795,1
35,48834,1,742,0
59,44435,1,527,0
47,75797,3,445,0
52,63554,3,595,1
67,74555,0,540,1
60,34716,0,586,0
32,80261,1,325,1
62,47528,1,751,1
64,21995,1,405,1
44,42414,1,539,1
61,33844,4,717,1
55,56659,0,631,0
46,35522,0,341,0
57,94034,1,334,0
26,62322,2,646,1
24,87638,1,683,1
62,28524,3,812,0
64,50846,2,587,0
50,93643,3,332,1
42,80096,2,394,0
61,67703,3,504,0
29,44399,1,329,0
51,95160,1,565,1
62,68591,2,322,0
49,40714,3,338,1
58,55877,4,472,0
50,98018,2,712,1
37,79136,2,713,0
55,53414,0,508,0
21,98943,2,321,0
33,65468,4,304,0
32,99702,1,513,1
48,92108,3,438,0
31,66835,0,616,1
58,83333,3,455,0
21,62464,1,723,0
51,42923,2,799,1
32,81855,4,390,0
65,87445,0,341,0
46,87619,4,594,0
68,66146,4,636,1
60,80032,4,300,1
36,37140,4,408,0
59,22670,1,424,1
50,56519,4,363,1
53,64512,4,505,1
43,77811,1,714,0
64,34691,3,543,1
54,54262,1,515,0
67,74892,2,827,0
25,45595,1,679,0
38,77207,3,378,1
49,53440,2,714,1
26,28630,2,752,1
29,51250,0,448,1
60,97518,4,337,1
51,94191,2,456,1
53,84791,2,632,0
47,83753,3,587,0
34,80520,2,411,0
49,24008,3,390,0
56,64464,4,348,1
48,20496,0,460,1
41,43212,0,815,1
23,40637,4,701,0
39,65227,4,619,1
51,29884,1,663,0
55,88259,2,741,1
69,69810,2,774,0
23,24761,2,611,1
46,93166,3,831,1
36,36375,1,519,1
31,45218,2,796,0
41,50565,3,642,0
36,52975,3,393,0
29,47073,0,432,0
20,89726,3,800,1
41,21883,4,471,1
45,88422,3,308,0
37,69629,4,620,1
69,84170,4,397,1
33,94489,0,468,0
66,28381,0,610,0
48,43238,3,642,1
31,33795,0,729,1
55,82999,0,799,1
54,69907,2,584,0
31,29638,3,559,0
26,90467,3,794,1
48,62623,3,654,0
30,58492,0,513,0
52,46411,0,499,1
25,40534,4,535,1
66,49181,1,435,1
34,39996,1,721,0
51,92089,1,640,0
30,92666,2,641,1
42,49405,0,829,1
45,91325,4,687,1
53,48930,4,303,1
65,37529,1,698,1
53,73546,2,721,1
48,27942,2,710,0
23,27548,1,512,1
36,38296,1,347,1
54,71016,0,486,0
32,20296,2,801,1
60,87945,4,830,0
58,79980,1,774,1
34,76782,0,341,0
48,54229,4,560,0
48,73444,2,347,1
30,55036,1,745,0
51,59322,1,520,1
21,47167,0,642,0
66,71667,0,537,1
33,71468,2,454,1
39,92894,1,355,1
41,73084,0,686,1
30,83138,1,614,1
46,42588,2,337,0
22,82901,1,640,0
36,37671,4,530,0
63,51645,1,751,1
47,27637,3,641,1
48,20660,3,752,0
40,26922,2,556,0
66,64721,2,733,0
35,77256,2,508,0
56,89506,4,500,1
39,88943,4,436,1
25,47843,1,693,1
38,29046,0,335,0
24,83985,3,514,1
22,50346,3,326,0
20,73526,3,317,0
57,93143,1,436,1
34,56787,1,329,0
53,53583,2,372,0
54,32563,0,422,0
68,66060,2,527,1
44,53690,1,637,1
43,34925,4,572,1
31,40108,2,736,1
37,96515,1,338,0
34,88258,1,725,0
63,25355,4,614,0
35,66069,4,808,1
46,74471,4,456,0
27,52705,0,556,1
65,63909,1,755,0
44,73739,4,346,1
36,96820,0,631,1
48,43241,3,309,0
27,47414,3,443,1
34,70818,3,730,0
46,40895,1,451,0
65,82409,0,786,0
69,75324,0,435,1
26,86920,3,325,0
22,73555,2,306,0
48,85453,3,314,1
63,42689,1,731,0
43,84356,3,699,0
22,28252,3,506,1
39,50844,0,515,0
65,43365,3,801,0
34,26026,4,758,1
44,48523,4,558,0
49,30482,2,628,0
33,68888,1,753,0
26,70110,1,674,1
36,20493,0,763,0
63,76194,1,374,0
39,59767,2,541,0
55,49550,4,316,0
28,33833,0,558,1
57,22970,4,422,0
67,69177,2,610,1
41,87342,0,410,1
21,91200,3,555,0
43,81501,1,533,0
27,48900,2,796,0
30,34126,0,339,0
32,90690,4,421,1
36,99303,0,749,1
27,67994,3,818,0
40,87061,2,391,1
37,36978,0,660,1
49,76344,2,422,0
37,66648,2,636,0
65,21055,4,812,1
66,95582,1,727,0
50,64876,3,732,1
57,58725,0,306,1
51,25255,1,419,0
30,94947,4,686,1
64,73380,1,649,0
44,73333,2,397,0
52,62459,2,342,0
57,56163,3,482,0
60,53971,0,534,1
27,85149,0,745,0
30,39476,4,499,1
41,88580,3,812,0
43,89050,0,825,0
60,95526,2,512,0
36,27507,3,677,0
31,90393,1,845,0
65,32118,3,785,1
51,70529,3,660,0
34,88682,0,467,1
35,74176,4,703,0
41,24414,4,436,1
47,82137,0,532,1
39,23937,0,414,0
52,56731,0,551,1
29,58665,4,792,0
59,94510,0,588,1
51,37500,1,348,1
69,21750,1,751,1
52,85018,2,815,1
21,24027,1,571,1
52,25745,3,730,1
52,81731,2,325,0
60,48451,1,369,1
32,91474,3,592,0
49,81536,1,705,1
52,32150,3,533,1
32,33406,0,530,1
45,39781,3,562,1
41,77417,0,420,1
58,38325,3,762,0
21,88684,3,817,0
57,93469,1,323,1
58,29436,3,676,0
45,37669,1,799,1
65,92010,3,736,0
69,96764,4,798,0
34,21843,2,473,1
53,85609,1,808,1
61,70812,1,609,0
63,36059,0,369,0
68,60768,4,504,0
59,45395,0,640,0
30,40202,4,331,0
22,33273,4,342,1
25,68889,3,417,1
28,93048,0,314,0
25,65510,2,621,0
28,90649,4,636,1
58,22881,4,831,1
50,65913,1,680,0
51,85037,3,810,0
60,82457,2,419,0
69,55343,4,325,0
31,82389,1,833,1
27,98250,0,363,1
27,28656,4,759,1
69,25741,1,613,1
47,36661,0,515,0
39,48690,3,755,1
66,52833,0,839,0
26,91240,4,772,0
30,97711,2,658,1
39,77141,0,425,0
35,98232,2,386,0
23,59023,2,642,1
25,60209,0,694,0
41,34440,3,783,1
45,27960,0,755,0
22,42462,1,775,1
60,37821,2,509,0
61,77772,4,824,1
33,47258,2,606,0
30,82524,4,375,1
37,42115,1,321,1
31,66433,1,359,0
42,99364,1,685,0
31,90077,0,355,0
32,60644,2,467,1
44,82643,4,711,1
64,33311,1,490,0
38,50531,1,781,1
65,34588,4,715,1
55,69416,2,639,0
64,32380,2,558,0
27,62645,4,649,1
48,37818,3,736,1
51,50857,2,521,0
63,41711,4,712,0
37,25097,4,649,0
25,48393,1,781,1
37,42076,4,358,1
38,77609,0,451,0
41,49317,1,839,0
56,78480,1,524,0
51,27044,2,617,1
60,91033,3,578,0
22,75486,2,773,1
47,75162,0,323,1
29,99287,1,818,1
54,49882,1,667,1
48,74078,4,634,0
34,78734,3,732,1
52,63826,3,302,1
26,64028,4,557,1
31,71331,0,562,0
68,52543,3,420,0
49,49362,1,320,1
40,47315,0,439,1
50,47746,2,776,1
43,30057,2,588,1
39,62915,0,505,1
56,41061,1,342,0
23,71370,2,417,1
47,54157,1,304,1
63,31322,4,506,1
39,89812,3,644,1
43,97842,0,441,0
69,54017,3,671,0
68,76792,4,531,1
51,47742,2,463,0
60,84808,1,846,1
55,37629,1,663,1
53,28245,4,634,0
55,63870,0,310,1
21,84829,3,707,0
34,30588,2,374,1
53,20442,0,599,0
55,97339,4,680,1
25,60721,4,327,1
58,57145,1,762,0
61,30599,2,695,1
31,92594,0,675,1
22,97430,1,720,1
64,22939,2,663,1
37,42149,3,515,0
59,86567,3,400,1
40,30208,1,392,0
34,86098,0,565,1
52,69492,2,505,0
54,40951,3,379,0
45,68920,3,336,0
27,66766,0,310,0
55,77014,1,389,1
67,48351,4,318,0
49,69386,2,673,1
42,29308,3,393,0
61,79252,4,331,1
63,95145,0,439,1
33,48064,1,320,0
33,73879,2,448,0
21,28720,0,520,0
56,62940,1,518,0
24,99993,0,840,0
57,88475,3,357,0
64,67113,3,724,0
60,68926,4,574,1
66,58203,0,439,0
33,25392,3,322,1
58,45905,1,677,1
44,93508,4,672,0
39,70385,2,362,0
21,50653,0,641,0
58,34799,3,466,0
25,80103,1,450,1
36,35052,0,822,0
44,26044,1,800,0
47,39871,4,647,0
21,40234,3,571,1
54,41381,3,729,1
56,37274,4,532,1
24,69892,1,507,1
20,70521,0,752,0
59,37920,1,800,0
31,36702,0,518,0
55,21894,4,380,1
64,50985,2,848,1
42,48287,0,840,0
66,93527,3,550,0
50,35439,3,714,0
30,62235,3,385,1
29,47659,1,516,1
22,44976,1,495,0
33,87865,1,596,0
35,88306,3,343,0
29,76697,0,692,1
48,90382,3,742,1
29,36651,0,389,0
31,69044,1,454,0
49,34633,2,777,0
60,99164,1,358,1
20,20569,4,409,1
24,79900,0,778,1
39,87509,2,348,1
27,53038,1,676,0
62,69088,2,331,1
31,93177,3,785,0
20,94466,0,830,0
39,92216,4,302,1
47,86793,3,677,1
62,93786,2,541,1
56,58138,1,840,1
66,83310,0,656,1
56,48757,4,496,0
31,90394,1,718,1
56,99027,4,572,1
68,76151,0,801,1
68,69272,2,334,1
63,26908,4,760,1
47,30844,0,552,1
66,71455,4,811,0
34,88447,1,347,1
25,94527,4,484,1
63,97108,1,790,0
39,63066,1,572,1
69,60004,0,826,0
33,58333,3,427,0
21,59697,4,509,1
28,37634,2,441,1
56,44561,1,472,0
39,38033,3,746,1
45,92887,1,418,1
48,75063,3,310,1
20,45921,3,603,1
54,39340,2,453,1
25,82781,3,622,1
56,34901,2,836,1
24,30638,0,744,0
52,58596,1,641,0
68,64324,2,520,0
33,52642,1,409,1
31,45378,4,709,0
61,70867,0,717,0
39,93686,4,804,1
69,62875,4,339,1
43,84377,3,808,1
62,74691,3,758,0
53,84303,4,562,0
44,80839,3,417,0
69,69063,1,749,0
48,98343,3,713,0
58,25492,4,825,0
50,51357,3,760,0
66,91838,3,417,1
62,52314,2,516,0
69,68697,2,376,0
42,90283,4,720,1
63,79567,1,471,1
57,67006,0,689,1
39,80011,0,325,0
42,30686,4,427,1
64,57449,1,673,1
35,81606,1,323,1
69,38891,1,769,0
61,72115,2,722,0
27,80719,4,476,1
69,93030,0,837,1
40,56723,1,565,1
20,49877,4,569,1
27,34026,0,628,1
48,40422,2,754,1
51,29244,3,594,1
57,53481,0,421,0
24,78031,0,458,0
66,28521,0,477,1
41,21746,3,627,1
66,88232,1,606,0
53,32012,3,388,1
20,43457,0,337,1
45,90572,2,645,0
62,49960,0,551,1
29,27910,2,448,1
49,22693,4,315,1
69,35858,2,666,1
37,48810,0,417,0
36,40092,3,616,1
45,68700,0,587,1
27,78105,0,650,0
66,50505,4,596,0
59,93228,1,493,1
68,48555,0,691,1
31,91934,4,742,0
46,92788,3,580,0
27,97257,4,600,0
44,37939,4,725,0
65,31825,2,549,1
23,44151,1,814,1
52,20036,1,705,0
20,59051,3,543,1
38,93596,4,666,1
50,80071,3,419,0
35,93601,3,739,1
33,49873,1,803,1
67,56648,1,732,0
24,91468,1,482,0
60,46470,0,760,1
45,85129,4,417,0
47,28328,3,330,0
21,26333,4,448,1
69,66638,3,827,1
25,31268,3,572,1
28,90603,3,684,0
52,37045,3,401,1
60,60741,2,371,1
44,62770,2,707,1
67,27887,0,646,0
32,44918,1,666,0
28,55497,3,848,1
32,81009,4,590,1
50,31929,2,721,1
60,81762,1,480,0
30,99099,0,413,1
23,48546,1,537,1
53,98424,3,393,1
57,57338,1,559,0
65,54283,3,406,1
23,98170,2,543,1
57,66566,2,722,1
38,48013,3,634,1
25,72132,4,322,0
53,48084,2,570,1
37,41143,4,439,0
32,34179,3,765,1
60,78726,3,753,0
42,30222,2,683,0
38,79965,4,676,1
64,84068,3,737,0
30,43949,2,721,1
20,36116,3,455,0
43,71052,1,634,1
26,71369,1,830,1
44,68817,2,431,0
40,94311,3,800,1
34,49655,2,821,0
20,77802,0,439,0
31,67632,2,434,0
26,34193,2,706,1
34,50776,1,393,0
40,63225,1,540,0
38,80010,3,464,1
48,85451,2,624,0
44,68812,2,517,0
52,38895,3,530,0
68,85782,4,478,0
51,41209,3,379,0
68,81807,1,653,0
54,43086,1,460,0
63,47207,2,726,0
57,40897,1,702,0
45,83083,3,331,1
30,86957,2,420,1
54,98506,3,814,0
27,27283,3,684,1
65,20255,2,724,1
33,96555,4,775,1
29,35487,1,466,0
21,39346,0,688,1
65,55050,0,632,0
28,28744,0,822,1
22,44756,1,770,0
40,81596,4,823,0
45,45146,3,352,0
27,75032,2,320,1
67,62687,4,318,1
21,66103,0,755,0
25,41976,1,621,0
47,82863,1,732,1
48,20591,2,358,1
45,26277,3,450,1
44,81860,4,739,1
31,22260,4,357,0
24,85883,4,592,0
53,44741,3,481,0
67,57211,3,377,0
56,61542,3,404,1
34,26869,2,560,0
63,84732,1,522,0
55,39422,0,783,0
34,55613,3,428,0
62,77016,1,618,1
67,80110,3,808,0
42,97922,0,319,0
25,54033,3,534,1
65,65213,1,649,0
69,81993,2,752,0
63,32938,0,808,1
62,96695,1,722,0
64,22274,4,489,1
40,51815,4,424,1
42,96018,4,305,0
62,38961,2,757,0
35,40044,3,821,1
66,41975,3,388,0
34,34706,3,410,1
44,25974,2,696,0
55,96464,4,310,1
30,41213,3,796,1
34,21950,2,315,1
23,30411,2,332,0
40,66156,1,788,0
32,82744,3,487,0
41,37771,4,757,1
38,89810,0,350,0
53,55053,2,570,1
33,72076,1,763,0
23,27045,0,342,0
67,77623,2,838,0
65,49714,1,420,1
46,54386,3,615,1
48,28562,1,414,0
66,75048,2,753,1
47,32026,3,819,0
54,51589,4,636,1
27,46844,1,539,1
35,43447,0,685,0
61,97502,3,444,0
55,74708,3,676,0
49,83925,4,303,0
37,90825,1,627,1
21,71574,0,496,1
68,38812,4,688,1
32,75309,1,560,1
23,84230,0,393,0
45,61628,0,556,0
44,60581,2,435,1
49,66628,0,824,1
30,45105,1,797,1
26,99830,4,477,1
50,89157,4,411,0
63,52442,2,563,0
29,22347,1,713,1
58,67650,0,668,0
32,37110,2,677,1
50,82170,3,682,0
26,24923,1,810,0
68,71801,2,676,0
61,82771,4,844,1
61,68135,2,372,1
55,39199,3,803,0
39,29066,1,651,0
23,72136,2,624,1
26,56575,0,687,0
20,66733,1,539,0
63,36991,2,373,0
64,42553,2,330,0
61,20634,1,778,1
66,32771,4,313,0
32,38298,0,615,0
41,99876,1,367,0
40,55999,0,837,0
41,91887,0,590,1
47,79648,1,323,0
28,82668,2,714,1
45,89374,4,335,0
28,87509,0,400,1
34,95783,0,845,1
29,64440,2,338,0
43,51655,1,510,1
61,63039,4,471,0
27,75255,0,741,0
43,92219,0,358,0
35,74989,1,709,0
68,31244,2,833,0
45,78595,3,664,0
46,59551,2,666,0
56,83230,0,643,1
23,48371,0,595,0
69,89358,4,640,0
43,48878,2,822,0
38,56157,3,564,0
55,25914,4,823,0
58,47180,3,337,0
29,23688,4,430,1
44,98616,2,681,0
37,29916,0,524,1
38,76363,3,442,0
55,47360,2,730,0
29,57805,3,688,0
52,33453,2,353,1
69,42703,4,323,1
24,79021,2,694,0
66,94176,4,418,0
68,27410,0,484,0
54,68268,4,491,0
63,54248,1,786,1
53,51159,0,683,1
52,62039,2,645,0
40,67800,2,772,0
36,60761,1,302,1
41,63663,2,349,1
67,60412,0,803,1
56,55367,0,510,0
34,25813,4,827,1
54,79894,3,582,0
47,71444,2,678,0
26,54269,1,625,1
51,81748,0,597,1
30,61190,0,437,0
29,60318,0,424,1
28,57018,3,691,1
33,59759,3,701,0
32,36498,2,779,1
44,45989,1,700,1
21,45568,3,661,1
54,86577,4,365,0
26,50099,3,727,0
40,60639,0,820,1
37,43482,1,731,0
22,89212,2,404,0
61,75261,3,388,1
58,50048,0,305,1
60,23065,4,457,0
68,22036,4,678,0
30,55814,2,629,1
58,79694,2,402,0
43,36924,3,522,0
65,80204,2,701,0
38,52844,0,844,1
23,41518,0,808,0
45,37059,0,483,1
57,43052,3,386,1
61,89803,3,679,0
51,91524,2,837,0
58,28680,3,712,0
64,87021,0,817,0
65,40043,1,594,0
55,22419,0,559,1
59,76892,1,683,0
56,37140,2,603,1
52,63484,4,615,1
55,83869,3,376,0
22,65210,3,678,0
28,77600,0,760,1
27,98497,0,355,1
52,26487,1,380,1
25,80692,3,475,0
60,82112,2,682,1
58,51110,0,448,0
23,36360,3,580,0
32,69410,4,644,0
68,93167,1,708,0
21,23017,0,329,1
24,80124,0,721,0
63,70949,2,530,1
46,78268,0,658,1
51,86320,3,461,1
40,51127,3,527,0
27,23196,3,520,1
57,95088,4,372,0
27,61300,4,698,1
69,69714,0,394,1
22,51921,4,774,0
63,24746,4,394,0
22,88535,2,423,1
41,85350,4,799,1
25,70345,1,347,0
21,69220,1,394,0
42,42063,1,776,0
63,91736,0,332,1
21,98946,3,417,0
57,65971,2,550,1
36,23598,0,602,1
54,30564,3,421,1
53,69725,2,517,1
42,79940,2,352,0
49,82085,2,425,0
27,37862,1,458,0
41,30265,1,475,0
63,29705,1,591,0
55,75279,2,458,1
24,82471,2,790,1
32,99834,1,656,0
48,82979,2,536,0
50,75828,1,727,0
66,66104,1,424,1
35,60934,1,614,1
61,26050,3,578,0
49,63952,2,404,1
