ID,Year,Mileage,EngineSize,FuelType,Transmission,Horsepower,Price
1398,2018,34940,2.0,0,1,331,67002
1399,2005,117418,4.8,3,1,478,76075
1400,2001,81792,4.5,1,0,269,48734
1401,2011,169504,2.4,2,0,175,71720
1402,2018,18367,1.3,0,1,311,10186
1403,2004,121764,5.3,1,0,287,65977
1404,2011,244673,2.6,2,1,81,61866
1405,2016,166583,2.0,2,0,252,38082
1406,2016,18573,3.6,1,0,322,99540
1407,2009,25582,5.6,3,0,223,57832
1408,2022,146450,1.2,0,1,358,62868
1409,2016,75296,4.8,0,1,287,21976
1410,2014,154572,3.9,1,0,405,44850
1411,2011,75841,3.1,3,0,437,88657
1412,2015,31881,4.7,2,1,159,57474
1413,2018,80233,5.8,3,1,461,38498
1414,2007,192614,2.1,0,1,120,50582
1415,2020,75285,1.7,1,0,193,8692
1416,2016,69547,5.6,0,1,255,33040
1417,2022,203223,4.3,1,0,406,74755
1418,2004,148294,3.2,3,1,472,73678
1419,2021,17933,3.9,0,0,290,67143
1420,2015,93385,4.7,3,1,140,90416
1421,2005,230844,4.9,0,1,207,63252
1422,2007,108706,5.6,3,1,256,7959
1423,2017,219509,3.1,0,1,106,67433
1424,2011,148012,2.5,1,1,105,69571
1425,2014,94590,4.2,3,1,216,68006
1426,2008,116399,3.1,3,1,176,11710
1427,2012,69145,4.0,1,0,475,10083
1428,2014,184682,3.1,2,0,67,13646
1429,2009,67520,1.8,0,0,124,28201
1430,2015,14544,3.3,0,1,327,95848
1431,2006,231926,4.5,1,0,437,79883
1432,2016,64812,5.0,0,0,308,56126
1433,2022,212682,3.5,3,0,494,31457
1434,2020,192572,1.8,3,1,73,29287
1435,2021,180690,3.1,1,1,357,43761
1436,2006,129090,4.9,3,1,116,11714
1437,2013,109054,3.1,2,1,172,82761
1438,2014,166516,4.5,0,1,336,44854
1439,2020,227054,3.5,1,0,102,65698
1440,2006,235151,2.2,1,0,494,66006
1441,2008,197658,5.0,0,1,170,25116
1442,2018,165861,1.4,2,0,235,48375
1443,2015,142689,3.6,1,0,468,66530
1444,2007,110834,2.0,0,0,336,14953
1445,2017,144405,1.3,2,0,490,56338
1446,2022,50002,3.5,1,1,293,24798
1447,2017,204692,3.5,2,1,125,97273
1448,2019,228760,4.5,1,0,443,97181
1449,2006,230699,4.7,0,1,133,75678
1450,2002,141583,4.6,0,0,451,29122
1451,2017,122850,3.0,0,1,413,34131
1452,2009,140011,4.2,2,0,361,25056
1453,2006,178922,3.9,3,1,341,6733
1454,2016,131548,3.1,2,0,356,78841
1455,2013,223244,4.0,0,1,494,23288
1456,2002,227125,5.7,1,0,196,31096
1457,2011,41786,2.0,3,0,386,31081
1458,2012,215428,5.5,2,0,409,7587
1459,2001,46244,1.3,2,0,430,79648
1460,2002,215786,2.5,1,0,444,98905
1461,2004,77261,2.4,1,1,54,61558
1462,2010,28477,4.1,0,1,150,85128
1463,2007,187605,1.7,2,0,478,86823
1464,2022,175541,5.4,1,0,149,61723
1465,2022,18496,5.1,1,1,222,47029
1466,2011,130522,4.3,3,0,481,9747
1467,2006,153342,3.3,0,1,157,75087
1468,2014,217080,5.7,0,0,319,77358
1469,2016,30724,5.2,2,1,422,68953
1470,2003,40416,3.5,1,0,77,90204
1471,2021,45575,4.5,0,0,294,75043
1472,2012,222262,3.8,2,0,314,39747
1473,2017,86614,3.9,0,0,364,65384
1474,2000,103566,2.7,2,0,87,59885
1475,2015,214180,3.3,1,0,142,8542
1476,2012,158480,1.4,0,1,202,84695
1477,2009,137192,2.8,2,0,377,52575
1478,2011,29359,4.5,2,1,97,8181
1479,2001,149770,5.8,1,0,452,59023
1480,2022,211464,5.8,0,1,179,11953
1481,2002,234135,3.8,2,0,55,95554
1482,2009,180564,4.0,2,1,463,19800
1483,2001,215853,1.9,2,1,110,40661
1484,2022,53634,4.5,2,0,307,22299
1485,2012,127255,1.4,0,0,484,52711
1486,2012,52864,2.4,3,0,388,41412
1487,2017,104482,4.3,0,0,318,21010
1488,2002,47355,2.6,2,1,354,36461
1489,2006,47690,1.2,0,0,294,38311
1490,2013,178886,5.2,0,0,57,18187
1491,2019,172717,2.6,1,1,314,22028
1492,2016,225886,1.3,1,0,200,85715
1493,2020,213811,1.4,2,0,249,31346
1494,2011,66630,2.3,3,1,378,49838
1495,2015,189243,1.9,1,0,449,74368
1496,2011,31658,4.9,0,0,449,29598
1497,2014,249204,2.6,2,1,317,69224
1498,2009,25797,5.0,3,0,266,37911
1499,2006,68799,1.9,1,0,426,48499
1500,2019,128301,3.5,2,0,444,67858
1501,2004,239414,4.4,3,1,387,58831
1502,2000,237566,4.3,2,0,446,73832
1503,2016,62236,4.0,3,1,468,71607
1504,2002,16265,5.6,1,1,259,48553
1505,2012,135611,2.1,0,0,412,77084
1506,2013,213206,3.5,0,1,220,93829
1507,2017,241791,5.4,1,0,150,18886
1508,2003,223750,1.4,1,0,463,34797
1509,2017,194566,1.3,1,0,109,6552
1510,2004,131754,2.2,3,1,372,74872
1511,2015,193340,4.2,3,0,78,82089
1512,2000,168070,2.3,3,1,202,63623
1513,2020,101426,2.0,3,1,115,15600
1514,2013,235486,3.3,3,1,288,76746
1515,2014,202411,4.1,3,0,54,31903
1516,2008,155378,2.2,3,1,173,75409
1517,2014,205078,2.5,1,1,144,6028
1518,2016,188417,4.1,3,1,54,69030
1519,2003,152957,5.7,2,1,134,25461
1520,2011,119681,4.4,3,1,289,18578
1521,2004,53826,4.9,0,1,98,10878
1522,2004,65597,2.8,0,0,75,93111
1523,2010,148515,2.4,1,1,376,72917
1524,2005,107375,3.3,0,0,463,35701
1525,2006,27084,5.0,0,0,147,75150
1526,2013,99447,3.3,0,0,461,29034
1527,2010,14383,5.2,1,1,431,24743
1528,2012,102313,5.9,1,0,319,62685
1529,2001,44361,1.4,3,0,323,90269
1530,2006,90294,1.2,0,1,362,49525
1531,2019,71331,1.7,3,1,285,68651
1532,2003,105057,2.9,1,0,258,46244
1533,2007,161601,1.7,3,0,74,96075
1534,2019,199646,5.4,3,0,375,77926
1535,2021,229699,1.1,0,1,182,31197
1536,2020,131685,2.6,1,1,230,39492
1537,2018,246402,1.9,0,1,134,79104
1538,2012,106917,5.7,3,0,295,70588
1539,2013,241988,4.3,1,1,88,21711
1540,2009,40932,5.6,3,1,300,81116
1541,2010,11908,5.9,3,1,490,71174
1542,2001,246330,3.5,0,0,163,12285
1543,2008,171430,2.2,1,1,316,49213
1544,2016,40412,2.0,1,0,151,27083
1545,2002,138319,2.1,0,0,276,29041
1546,2005,93710,4.5,2,1,303,25985
1547,2004,222104,1.2,0,1,276,91883
1548,2004,12928,1.3,0,1,298,99911
1549,2021,75158,4.0,2,0,330,26447
1550,2014,171704,4.2,1,0,207,95670
1551,2022,42309,4.3,2,0,51,41803
1552,2016,19280,2.9,3,0,261,79636
1553,2008,50449,5.0,3,1,85,28181
1554,2002,228243,3.7,0,1,86,59683
1555,2019,36957,1.5,3,0,307,65428
1556,2016,177967,5.0,2,0,289,38044
1557,2009,80499,5.8,3,0,413,47021
1558,2002,103057,1.3,1,0,480,61115
1559,2017,239223,3.0,0,1,140,88737
1560,2017,120065,3.4,0,1,145,82784
1561,2016,162767,1.7,1,1,236,43677
1562,2002,84893,5.3,1,1,309,87354
1563,2002,204195,2.4,0,0,268,14031
1564,2005,35176,4.9,1,0,399,12716
1565,2012,159481,4.4,3,1,244,44655
1566,2014,66967,4.0,3,1,95,67636
1567,2008,10987,2.0,3,1,414,19586
1568,2003,195534,2.1,3,1,407,34303
1569,2013,208573,1.2,2,1,469,47325
1570,2004,246692,2.2,2,1,114,44756
1571,2001,106854,2.7,2,0,276,43820
1572,2010,36015,5.2,2,0,105,41877
1573,2008,235799,2.8,3,1,253,85145
1574,2002,122350,4.8,3,1,84,28534
1575,2008,76404,3.2,1,0,168,85224
1576,2002,126751,4.9,2,0,287,71694
1577,2001,138807,5.9,2,1,150,31299
1578,2011,191353,2.2,0,0,328,92418
1579,2009,178218,5.3,1,0,274,54718
1580,2008,58231,4.1,3,0,383,59049
1581,2014,170104,5.1,1,0,93,54278
1582,2007,38305,4.3,1,0,50,96906
1583,2004,64306,3.1,0,0,268,59266
1584,2010,229248,2.1,0,0,265,76591
1585,2001,131139,1.4,1,0,499,41451
1586,2014,28318,3.7,2,0,189,40998
1587,2005,154318,6.0,3,0,446,6558
1588,2007,174916,4.7,0,1,460,96335
1589,2004,173674,2.6,0,1,325,99902
1590,2015,31584,5.1,3,0,416,54890
1591,2017,25169,4.8,0,1,161,81398
1592,2005,35968,2.4,1,1,292,37846
1593,2004,147457,1.1,3,0,403,14972
1594,2015,214830,1.6,2,1,55,8163
1595,2012,132684,5.4,0,0,441,39955
1596,2004,125391,5.2,0,1,326,96136
1597,2012,35444,2.5,1,1,152,54418
1598,2016,244856,2.4,2,1,454,61370
1599,2017,116081,5.0,0,0,350,46188
1600,2007,72497,5.7,3,1,119,39160
1601,2012,15362,4.9,3,0,410,52553
1602,2018,109254,4.0,1,1,477,56756
1603,2002,149322,2.2,1,1,236,42986
1604,2007,78354,3.6,0,0,207,49103
1605,2001,46368,2.2,1,1,187,49830
1606,2007,54109,5.0,3,0,380,21980
1607,2012,221661,2.9,1,0,306,81716
1608,2012,198717,5.2,3,0,443,95946
1609,2000,198069,2.9,0,0,458,13920
1610,2005,37426,5.1,3,1,132,35875
1611,2018,127632,2.7,1,0,123,98019
1612,2015,122637,3.2,3,0,416,18127
1613,2007,49023,4.1,3,0,63,40392
1614,2000,132268,1.4,2,1,180,63260
1615,2015,200339,5.7,2,1,245,13846
1616,2008,165964,3.9,0,0,217,88894
1617,2012,200304,3.5,3,1,466,99599
1618,2010,119211,5.2,3,1,261,35055
1619,2012,104897,5.3,3,0,256,61661
1620,2020,200297,3.6,2,0,184,90011
1621,2009,157079,5.6,3,1,157,46292
1622,2003,89777,1.3,2,1,308,85074
1623,2005,54858,1.6,0,1,168,41510
1624,2006,186145,4.0,3,1,268,96850
1625,2004,230510,2.8,3,0,214,15327
1626,2010,100042,3.3,1,1,398,15584
1627,2012,93098,2.6,2,1,203,10815
1628,2018,30239,3.0,1,1,396,8868
1629,2022,204041,5.1,0,0,74,5249
1630,2009,154137,4.0,2,1,473,52422
1631,2009,120951,6.0,3,0,92,62044
1632,2010,51291,4.9,3,0,164,70008
1633,2020,48805,2.4,3,0,399,87220
1634,2006,108831,2.3,3,1,93,50604
1635,2017,159515,2.7,0,1,261,16956
1636,2003,19290,5.2,3,0,334,42085
1637,2001,141283,1.1,3,1,287,42211
1638,2013,93634,2.2,3,0,275,36348
1639,2012,29072,5.5,1,0,267,60386
1640,2011,53290,4.2,0,1,396,37405
1641,2006,95186,2.1,2,0,295,41686
1642,2001,25115,2.1,0,0,362,88114
1643,2012,15149,5.3,0,1,413,21677
1644,2013,51992,5.5,0,0,186,89159
1645,2016,27716,2.3,3,1,327,20908
1646,2008,107724,3.1,1,1,119,57005
1647,2016,23621,5.2,1,0,55,49870
1648,2007,147892,4.9,1,0,204,29606
1649,2001,123065,5.1,1,1,305,67045
1650,2012,183872,3.6,2,0,171,26261
1651,2002,196115,5.6,1,1,167,27007
1652,2015,40399,2.6,3,0,357,29574
1653,2005,129374,1.8,3,1,375,42985
1654,2018,155074,4.5,1,0,482,74683
1655,2006,53098,3.7,2,1,258,52578
1656,2009,55511,5.3,1,0,398,28894
1657,2008,63243,1.4,3,0,456,68426
1658,2001,125131,5.2,3,1,130,66316
1659,2014,38750,2.5,3,1,454,89777
1660,2004,232682,4.3,0,0,379,58597
1661,2021,158382,1.2,3,0,156,16782
1662,2003,65398,4.0,1,0,185,34672
1663,2019,223614,4.6,3,0,487,92057
1664,2003,216279,2.8,2,1,63,46673
1665,2017,54345,2.1,0,0,80,12723
1666,2003,103430,3.7,2,0,228,87529
1667,2016,124921,5.2,3,1,495,33604
1668,2011,101729,2.6,0,0,451,88424
1669,2021,61843,2.3,0,1,480,16423
1670,2016,151294,2.4,0,0,143,67302
1671,2009,230394,5.7,3,1,131,92451
1672,2021,172581,2.8,2,1,229,44299
1673,2000,141458,1.0,3,0,298,30230
1674,2021,74334,4.9,0,1,290,27529
1675,2017,77170,4.5,3,0,214,5150
1676,2017,50878,1.6,0,1,335,15170
1677,2013,210741,5.9,0,1,79,65950
1678,2014,248752,4.0,0,1,405,33386
1679,2011,179421,3.5,3,0,353,31393
1680,2003,241343,2.9,3,0,216,92692
1681,2002,163024,5.5,0,1,332,50683
1682,2019,100352,2.2,1,0,449,48954
1683,2011,162601,2.4,2,1,465,9995
1684,2006,212375,1.6,0,1,462,41177
1685,2010,182593,4.8,0,0,485,23274
1686,2000,28383,4.0,0,1,251,60475
1687,2005,145973,4.0,0,0,143,55128
1688,2014,52889,2.1,0,1,64,47394
1689,2014,24633,4.3,1,0,349,12943
1690,2018,72244,4.8,3,1,456,58428
1691,2010,139177,2.8,1,1,97,34038
1692,2022,160235,5.0,0,1,200,67988
1693,2001,200091,2.7,0,1,163,80949
1694,2013,151779,4.8,0,1,430,72669
1695,2001,229184,1.2,3,0,63,85419
1696,2003,93597,3.8,2,0,359,19242
1697,2016,186173,5.8,2,1,397,26426
1698,2002,185778,5.9,1,1,220,86772
1699,2012,218156,2.4,1,0,478,45515
1700,2008,25115,3.2,2,0,455,57876
1701,2006,85379,1.3,0,1,429,17718
1702,2014,243553,5.4,3,1,110,43533
1703,2022,49979,3.8,1,1,67,50713
1704,2010,181713,2.9,3,1,477,18685
1705,2019,79377,1.6,0,1,279,99471
1706,2001,16416,5.7,0,1,135,74800
1707,2014,151705,3.7,1,0,250,9412
1708,2013,138785,2.4,2,1,195,54364
1709,2019,244261,2.8,2,1,106,84415
1710,2021,141666,2.4,2,0,134,87553
1711,2010,155465,4.0,0,0,320,37607
1712,2002,176452,5.6,0,0,250,76553
1713,2016,186128,5.3,3,1,155,45681
1714,2011,229351,3.3,3,0,363,14576
1715,2020,140364,5.1,3,1,179,7170
1716,2014,107507,3.1,0,0,63,22429
1717,2015,128243,2.3,2,0,70,90209
1718,2004,145933,5.9,0,0,476,22260
1719,2019,113070,2.5,3,1,94,38161
1720,2005,46126,2.6,3,0,83,28084
1721,2018,90382,5.9,3,0,422,52364
1722,2004,232785,1.7,3,0,120,38000
1723,2002,174754,4.8,1,1,301,41337
1724,2000,28228,5.7,3,1,384,97535
1725,2005,241371,3.6,0,1,280,43673
1726,2014,34009,1.0,1,1,61,67153
1727,2001,10094,2.9,2,1,172,87751
1728,2002,248060,1.6,0,0,312,46046
1729,2016,90636,3.1,0,0,118,44808
1730,2011,193293,5.0,2,1,160,64252
1731,2017,108453,3.2,0,0,408,60988
1732,2014,158502,3.2,1,0,295,80945
1733,2011,176643,3.8,2,1,422,12761
1734,2015,64486,3.9,1,1,461,21221
1735,2007,100510,5.3,3,1,147,14426
1736,2013,237737,2.5,2,0,330,30068
1737,2016,203366,5.1,1,1,371,29597
1738,2020,30860,3.8,3,1,356,8877
1739,2007,82812,2.5,1,1,250,17319
1740,2014,76087,2.5,1,0,211,57534
1741,2013,149558,2.8,0,0,479,38112
1742,2017,224135,4.1,3,0,480,27383
1743,2019,59607,2.2,0,1,425,71696
1744,2006,150817,5.6,3,0,209,5483
1745,2002,116664,3.9,3,1,430,58169
1746,2011,219605,5.6,0,1,189,72364
1747,2020,28330,1.2,0,0,302,31460
1748,2002,130803,2.7,0,1,430,65397
1749,2019,181150,1.1,3,0,452,21699
1750,2013,196404,2.4,3,1,352,59014
1751,2014,245193,5.3,3,1,215,80604
1752,2013,195604,1.2,3,0,298,51142
1753,2006,231437,3.2,3,1,443,97747
1754,2016,53336,1.6,3,0,315,40097
1755,2011,18070,3.1,1,0,404,14805
1756,2019,11320,5.2,0,1,90,42238
1757,2003,99043,4.1,3,1,104,18574
1758,2008,48921,4.7,1,1,278,52042
1759,2005,16589,2.7,2,1,273,39868
1760,2015,205481,5.7,1,1,297,71344
1761,2021,102995,4.5,0,1,423,75147
1762,2021,25589,3.1,2,1,248,95625
1763,2020,46375,3.1,3,1,164,89258
1764,2020,53085,5.6,0,1,302,45954
1765,2001,70840,3.9,2,1,251,75560
1766,2007,184272,4.5,1,1,92,58732
1767,2010,108704,3.1,2,0,215,72432
1768,2012,167804,2.1,0,1,204,45369
1769,2016,107047,4.6,2,1,337,24084
1770,2007,163498,4.0,1,1,164,71674
1771,2020,40982,3.5,2,0,376,52878
1772,2017,69720,4.1,1,1,225,21507
1773,2017,157818,2.0,2,0,331,31478
1774,2013,38514,5.0,1,0,107,23010
1775,2014,205961,5.7,1,1,381,39352
1776,2005,144923,5.5,1,1,457,24842
1777,2010,160868,2.6,3,1,231,58520
1778,2012,86034,3.0,1,0,163,91680
1779,2000,203870,5.0,0,0,223,16485
1780,2005,108388,4.0,1,0,491,31614
1781,2008,204057,3.7,3,1,305,36885
1782,2007,175664,5.6,3,1,465,6244
1783,2010,54845,3.7,0,0,449,76428
1784,2021,157002,3.6,1,0,139,54350
1785,2018,120853,1.2,3,0,498,82810
1786,2008,118417,1.3,3,0,190,89050
1787,2016,123436,1.0,2,1,407,65628
1788,2011,248198,5.6,2,1,55,43390
1789,2013,31159,3.0,0,0,279,22714
1790,2014,236144,3.3,2,1,445,66140
1791,2015,99788,5.2,1,0,442,57496
1792,2021,34003,4.0,2,0,389,46942
1793,2021,115722,4.0,3,1,364,91362
1794,2019,45139,2.5,0,1,268,24982
1795,2000,246444,5.2,2,1,116,84207
1796,2009,62452,1.8,0,0,201,88264
1797,2007,32205,1.3,1,0,320,52379
1798,2017,237131,2.0,1,1,275,75376
1799,2000,66955,2.3,2,1,112,64809
1800,2001,17464,2.4,2,1,355,60071
1801,2000,223718,4.4,2,0,401,24695
1802,2000,213729,2.1,3,0,70,10269
1803,2008,19840,4.4,1,1,50,65477
1804,2012,243688,1.5,3,1,304,99940
1805,2000,50768,1.7,2,0,274,70964
1806,2012,150533,3.5,1,1,175,56450
1807,2019,30927,5.6,3,0,316,43922
1808,2021,231006,5.3,3,1,455,40232
1809,2006,108622,5.8,0,0,251,64941
1810,2001,25329,4.3,3,0,157,54728
1811,2005,25791,4.4,2,1,407,16454
1812,2006,62627,4.1,2,1,137,79277
1813,2013,138885,4.1,3,0,440,50822
1814,2017,155444,1.7,0,1,418,25936
1815,2014,233962,3.7,0,1,226,47252
1816,2001,189541,2.9,0,1,405,59191
1817,2009,119554,3.2,3,0,178,20860
1818,2022,140436,3.6,3,0,370,48251
1819,2011,97073,1.6,0,0,496,63147
1820,2016,44370,2.8,3,1,369,24603
1821,2007,61408,1.3,1,0,459,29106
1822,2010,100941,5.9,2,1,322,14324
1823,2002,248423,1.6,3,1,188,98624
1824,2005,164775,2.3,1,0,174,81224
1825,2008,156306,5.5,3,0,59,48963
1826,2005,148604,3.4,1,0,115,58346
1827,2008,246742,1.7,0,1,337,80306
1828,2006,45416,2.9,2,1,65,71387
1829,2008,82439,1.6,3,0,417,96239
1830,2017,28242,2.0,1,1,300,98376
1831,2011,191326,1.3,1,0,331,66485
1832,2007,89324,3.2,0,0,409,96333
1833,2007,45249,5.0,2,0,280,11907
1834,2017,110124,3.9,2,1,379,58145
1835,2019,105049,4.0,2,0,302,17316
1836,2014,249647,2.0,1,0,489,50224
1837,2006,95078,2.7,3,0,149,22934
1838,2010,42294,5.2,3,0,143,79596
1839,2019,200856,1.4,0,1,442,78234
1840,2015,144756,5.3,2,1,54,91903
1841,2003,164867,3.4,3,1,56,11600
1842,2005,201373,5.2,1,1,114,53616
1843,2021,210259,2.6,1,1,268,11586
1844,2002,151503,2.7,2,1,317,80088
1845,2008,216739,4.8,0,1,257,20967
1846,2009,99627,4.9,0,0,225,34467
1847,2013,100381,2.1,2,0,249,60694
1848,2010,100027,5.9,1,1,330,93249
1849,2017,196444,1.4,0,0,446,41404
1850,2021,80366,1.3,1,1,474,58147
1851,2011,104176,4.0,1,1,59,37346
1852,2022,129667,4.6,3,0,303,14670
1853,2011,82870,5.8,0,0,217,33120
1854,2012,57387,3.0,1,0,338,88933
1855,2012,193999,1.1,3,0,468,49108
1856,2018,19304,4.0,1,1,470,44553
1857,2018,27032,2.4,2,0,152,22041
1858,2022,101291,3.2,0,1,65,65839
1859,2013,122889,3.4,1,1,377,25148
1860,2003,69486,1.3,0,0,82,29711
1861,2012,75552,3.4,3,0,486,68187
1862,2007,214916,3.1,0,0,84,83984
1863,2022,170726,4.6,1,1,232,14075
1864,2020,49244,4.2,0,1,151,8732
1865,2022,147014,1.9,2,0,381,60131
1866,2018,60697,2.0,2,0,128,58803
1867,2011,136031,2.3,3,1,66,35779
1868,2017,12693,1.9,1,0,332,60544
1869,2005,197823,4.3,0,0,419,35110
1870,2017,91098,6.0,3,0,70,30460
1871,2018,16259,4.3,3,0,454,14174
1872,2021,129746,4.0,1,0,66,81172
1873,2004,117772,3.0,0,0,460,84916
1874,2008,127928,2.6,3,0,125,95083
1875,2002,146014,5.6,3,1,481,75817
1876,2009,57419,5.8,1,0,93,55372
1877,2018,112092,3.5,1,0,469,95817
1878,2002,66105,2.5,3,1,77,66245
1879,2021,206979,4.9,0,1,74,7606
1880,2014,168455,1.7,3,0,250,31849
1881,2000,33404,4.8,2,1,352,46985
1882,2006,82656,5.1,1,0,150,39084
1883,2011,146774,1.6,2,1,328,40919
1884,2016,214955,5.9,0,1,124,75229
1885,2020,110965,5.9,1,1,355,64198
1886,2019,66332,5.7,0,0,114,85439
1887,2004,180491,3.5,2,1,304,17295
1888,2003,231648,2.2,0,0,321,39676
1889,2011,113182,3.9,1,0,173,91005
1890,2019,121395,3.1,2,1,99,81377
1891,2017,112619,2.0,1,1,62,76271
1892,2016,229150,3.1,2,0,385,31902
1893,2018,118269,4.3,3,0,295,53015
1894,2008,83844,1.4,0,0,257,76417
1895,2003,180314,2.7,0,1,84,79931
1896,2020,134983,1.1,1,0,163,50660
1897,2001,44142,4.7,3,1,81,40531
1898,2003,119699,4.2,1,0,302,44460
1899,2001,106226,1.3,1,1,392,31841
1900,2014,17393,5.8,2,0,297,94538
1901,2001,211011,1.1,3,0,458,70681
1902,2003,210154,3.9,2,1,476,90050
1903,2005,112281,4.9,1,1,205,61722
1904,2006,169965,4.9,2,1,414,86386
1905,2009,19388,1.2,2,1,371,14248
1906,2018,248364,5.5,0,1,400,12133
1907,2018,72969,5.6,3,0,402,20893
1908,2021,46660,3.8,0,1,466,68163
1909,2011,99244,3.4,3,1,352,22457
1910,2002,165798,1.2,0,1,167,48329
1911,2012,89544,3.8,1,1,84,32730
1912,2017,242625,3.0,0,1,405,38303
1913,2007,204068,4.9,3,0,369,60364
1914,2020,141183,3.0,3,1,267,57231
1915,2014,125370,4.4,3,0,317,38528
1916,2000,27545,1.5,0,1,425,83946
1917,2002,181240,1.7,2,1,230,53961
1918,2007,143451,1.7,0,0,93,52813
1919,2003,236845,1.2,2,1,223,52930
1920,2015,97346,3.7,0,1,316,95319
1921,2022,182192,5.0,1,0,247,67254
1922,2009,27809,4.1,1,0,394,78635
1923,2011,193885,3.9,0,1,351,50953
1924,2013,215077,4.4,0,0,492,8263
1925,2013,37967,2.7,0,1,364,72533
1926,2001,150820,2.8,1,1,467,90925
1927,2022,33424,2.6,2,1,148,5025
1928,2004,227584,4.6,3,0,454,79234
1929,2004,164986,1.8,2,0,259,35867
1930,2005,236675,1.1,0,1,249,91393
1931,2012,118411,4.0,1,1,357,12683
1932,2008,219550,5.7,3,0,353,78687
1933,2021,160563,4.0,2,1,383,25544
1934,2014,190526,4.9,0,0,196,36448
1935,2013,80069,4.4,1,0,261,17083
1936,2006,192997,3.5,1,0,437,17653
1937,2019,99119,4.6,3,0,407,27291
1938,2001,47049,5.1,2,0,81,92897
1939,2006,37821,2.1,1,1,395,66938
1940,2005,105797,2.7,0,0,205,49826
1941,2016,244144,2.1,0,0,125,70704
1942,2001,171017,3.3,3,0,491,52523
1943,2002,158456,5.4,2,1,251,39691
1944,2004,169482,2.7,1,0,474,18163
1945,2004,87734,2.9,3,0,276,66479
1946,2000,204838,5.3,2,0,338,86403
1947,2007,235962,3.6,2,1,191,70231
1948,2011,148241,3.7,1,1,153,45422
1949,2003,181201,5.3,3,1,264,27611
1950,2012,107445,3.5,3,0,358,57461
1951,2022,13830,4.4,3,0,157,12625
1952,2014,197378,1.4,3,1,347,62852
1953,2010,96940,1.9,2,1,341,11984
1954,2009,206339,3.0,3,0,74,85209
1955,2002,168829,3.5,3,1,485,75653
1956,2021,73867,5.8,1,1,278,85733
1957,2013,176722,5.9,0,1,473,43591
1958,2015,174838,5.3,2,0,164,68260
1959,2009,222550,2.6,1,1,391,95118
1960,2009,42419,5.8,1,1,257,42528
1961,2011,26668,4.4,1,1,239,5407
1962,2008,157318,3.0,2,0,264,51378
1963,2000,34996,4.5,0,0,58,30998
1964,2004,61312,1.1,2,1,156,47574
1965,2019,144137,1.7,3,1,276,51631
1966,2007,20467,5.1,0,1,270,15714
1967,2010,191718,4.2,2,1,255,77892
1968,2011,162079,2.8,2,1,374,29442
1969,2000,209151,3.5,3,0,454,68764
1970,2021,38702,5.5,2,1,230,53889
1971,2019,104369,4.2,0,1,375,59892
1972,2010,85569,3.0,1,0,178,20869
1973,2004,63952,1.6,2,0,336,54247
1974,2014,199137,2.5,2,1,222,32679
1975,2004,44169,5.9,0,0,205,49299
1976,2011,26829,3.2,2,0,433,81168
1977,2004,201207,3.4,1,1,436,65947
1978,2016,14522,3.5,3,1,151,13590
1979,2016,95687,5.4,3,0,165,71797
1980,2011,176391,4.0,3,1,217,43791
1981,2014,130334,4.5,1,1,53,12700
1982,2014,167615,2.9,3,0,247,12980
1983,2005,128576,1.1,0,1,253,46688
1984,2011,244192,5.7,0,0,445,26474
1985,2019,127419,5.7,1,0,427,39424
1986,2017,171545,5.7,1,0,111,95919
1987,2013,17699,5.7,1,0,120,92389
1988,2001,78165,5.1,0,0,141,10470
1989,2008,181527,4.4,1,1,225,49805
1990,2004,85692,5.2,1,0,440,26514
1991,2019,27441,4.0,3,1,234,82737
1992,2000,40716,1.7,1,1,105,43009
1993,2022,72175,3.0,2,0,116,48194
1994,2002,16834,5.9,3,1,446,68879
1995,2005,28179,2.8,0,0,485,31823
1996,2004,36219,5.3,0,0,112,68542
1997,2020,113153,1.5,0,1,90,70830
1998,2004,156854,2.7,3,0,280,70590
1999,2000,222435,2.8,0,1,200,92883
2000,2016,84967,1.3,3,1,224,95754
2001,2018,112454,1.6,3,1,370,43314
2002,2013,19496,2.0,2,0,275,86999
2003,2011,229939,5.2,2,1,464,62983
2004,2009,180310,1.3,2,0,146,80240
2005,2019,56025,2.5,2,1,277,16994
2006,2020,69886,1.1,2,1,85,53388
2007,2017,164635,4.5,0,0,63,75906
2008,2010,13712,4.1,0,1,214,72879
2009,2001,104067,4.2,0,1,465,50003
2010,2017,55489,2.9,2,1,230,74442
2011,2006,42664,2.0,1,0,461,42602
2012,2014,153492,4.6,0,0,242,99380
2013,2010,195682,5.1,0,1,352,87818
2014,2017,15315,1.7,1,1,248,16516
2015,2022,211989,3.4,2,0,385,8998
2016,2011,85033,2.2,3,0,295,39280
2017,2005,235648,1.8,1,0,465,39588
2018,2019,127862,4.7,1,1,457,40583
2019,2022,238983,3.7,0,1,63,41018
2020,2012,89030,2.1,0,0,480,26583
2021,2019,73910,2.6,2,0,128,86949
2022,2015,238360,5.8,3,1,421,38761
2023,2017,202044,5.2,3,1,50,35268
2024,2009,131075,5.4,1,0,324,51523
2025,2022,231965,3.3,2,0,426,92714
2026,2007,65919,4.1,3,1,363,67853
2027,2017,223558,2.9,1,0,184,59337
2028,2020,222360,1.4,0,1,382,28263
2029,2000,243998,3.0,3,1,164,49763
2030,2022,145204,4.0,1,1,113,91868
2031,2007,137153,2.4,3,0,323,92824
