Causas (lista reducida);Sexo;Mes de fallecimiento;Total
015 Tumor maligno del páncreas;Ambos sexos;Abril;650
015 Tumor maligno del páncreas;Ambos sexos;Mayo;729
015 Tumor maligno del páncreas;Ambos sexos;Junio;633
015 Tumor maligno del páncreas;Hombres;Todos los meses;2.066
015 Tumor maligno del páncreas;Hombres;Enero;326
015 Tumor maligno del páncreas;Hombres;Febrero;363
015 Tumor maligno del páncreas;Hombres;Marzo;326
015 Tumor maligno del páncreas;Hombres;Abril;328
015 Tumor maligno del páncreas;Hombres;Mayo;378
015 Tumor maligno del páncreas;Hombres;Junio;345
015 Tumor maligno del páncreas;Mujeres;Todos los meses;1.956
015 Tumor maligno del páncreas;Mujeres;Enero;324
015 Tumor maligno del páncreas;Mujeres;Febrero;319
015 Tumor maligno del páncreas;Mujeres;Marzo;352
015 Tumor maligno del páncreas;Mujeres;Abril;322
015 Tumor maligno del páncreas;Mujeres;Mayo;351
015 Tumor maligno del páncreas;Mujeres;Junio;288
016 Otros tumores malignos digestivos;Ambos sexos;Todos los meses;1.250
016 Otros tumores malignos digestivos;Ambos sexos;Enero;209
016 Otros tumores malignos digestivos;Ambos sexos;Febrero;214
016 Otros tumores malignos digestivos;Ambos sexos;Marzo;232
016 Otros tumores malignos digestivos;Ambos sexos;Abril;201
016 Otros tumores malignos digestivos;Ambos sexos;Mayo;206
016 Otros tumores malignos digestivos;Ambos sexos;Junio;188
016 Otros tumores malignos digestivos;Hombres;Todos los meses;645
016 Otros tumores malignos digestivos;Hombres;Enero;114
016 Otros tumores malignos digestivos;Hombres;Febrero;105
016 Otros tumores malignos digestivos;Hombres;Marzo;120
016 Otros tumores malignos digestivos;Hombres;Abril;100
016 Otros tumores malignos digestivos;Hombres;Mayo;113
016 Otros tumores malignos digestivos;Hombres;Junio;93
016 Otros tumores malignos digestivos;Mujeres;Todos los meses;605
016 Otros tumores malignos digestivos;Mujeres;Enero;95
016 Otros tumores malignos digestivos;Mujeres;Febrero;109
016 Otros tumores malignos digestivos;Mujeres;Marzo;112
016 Otros tumores malignos digestivos;Mujeres;Abril;101
016 Otros tumores malignos digestivos;Mujeres;Mayo;93
016 Otros tumores malignos digestivos;Mujeres;Junio;95
017 Tumor maligno de la laringe;Ambos sexos;Todos los meses;548
017 Tumor maligno de la laringe;Ambos sexos;Enero;95
017 Tumor maligno de la laringe;Ambos sexos;Febrero;87
017 Tumor maligno de la laringe;Ambos sexos;Marzo;97
017 Tumor maligno de la laringe;Ambos sexos;Abril;102
017 Tumor maligno de la laringe;Ambos sexos;Mayo;96
017 Tumor maligno de la laringe;Ambos sexos;Junio;71
017 Tumor maligno de la laringe;Hombres;Todos los meses;499
017 Tumor maligno de la laringe;Hombres;Enero;85
017 Tumor maligno de la laringe;Hombres;Febrero;79
017 Tumor maligno de la laringe;Hombres;Marzo;94
017 Tumor maligno de la laringe;Hombres;Abril;93
017 Tumor maligno de la laringe;Hombres;Mayo;85
017 Tumor maligno de la laringe;Hombres;Junio;63
017 Tumor maligno de la laringe;Mujeres;Todos los meses;49
017 Tumor maligno de la laringe;Mujeres;Enero;10
017 Tumor maligno de la laringe;Mujeres;Febrero;8
017 Tumor maligno de la laringe;Mujeres;Marzo;3
017 Tumor maligno de la laringe;Mujeres;Abril;9
017 Tumor maligno de la laringe;Mujeres;Mayo;11
017 Tumor maligno de la laringe;Mujeres;Junio;8
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Ambos sexos;Todos los meses;11.685
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Ambos sexos;Enero;2.041
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Ambos sexos;Febrero;1.874
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Ambos sexos;Marzo;1.968
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Ambos sexos;Abril;1.943
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Ambos sexos;Mayo;1.998
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Ambos sexos;Junio;1.861
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;Todos los meses;8.353
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;Enero;1.448
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;Febrero;1.335
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;Marzo;1.438
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;Abril;1.377
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;Mayo;1.399
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;Junio;1.356
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Mujeres;Todos los meses;3.332
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Mujeres;Enero;593
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Mujeres;Febrero;539
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Mujeres;Marzo;530
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Mujeres;Abril;566
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Mujeres;Mayo;599
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Mujeres;Junio;505
019 Otros tumores malignos respiratorios e intratorácicos;Ambos sexos;Todos los meses;270
019 Otros tumores malignos respiratorios e intratorácicos;Ambos sexos;Enero;45
019 Otros tumores malignos respiratorios e intratorácicos;Ambos sexos;Febrero;51
019 Otros tumores malignos respiratorios e intratorácicos;Ambos sexos;Marzo;55
019 Otros tumores malignos respiratorios e intratorácicos;Ambos sexos;Abril;40
019 Otros tumores malignos respiratorios e intratorácicos;Ambos sexos;Mayo;46
019 Otros tumores malignos respiratorios e intratorácicos;Ambos sexos;Junio;33
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;Todos los meses;177
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;Enero;27
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;Febrero;29
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;Marzo;42
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;Abril;25
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;Mayo;33
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;Junio;21
019 Otros tumores malignos respiratorios e intratorácicos;Mujeres;Todos los meses;93
019 Otros tumores malignos respiratorios e intratorácicos;Mujeres;Enero;18
019 Otros tumores malignos respiratorios e intratorácicos;Mujeres;Febrero;22
019 Otros tumores malignos respiratorios e intratorácicos;Mujeres;Marzo;13
019 Otros tumores malignos respiratorios e intratorácicos;Mujeres;Abril;15
019 Otros tumores malignos respiratorios e intratorácicos;Mujeres;Mayo;13
019 Otros tumores malignos respiratorios e intratorácicos;Mujeres;Junio;12
020 Tumores malignos del hueso y de los cartílagos articulares;Ambos sexos;Todos los meses;186
020 Tumores malignos del hueso y de los cartílagos articulares;Ambos sexos;Enero;23
020 Tumores malignos del hueso y de los cartílagos articulares;Ambos sexos;Febrero;31
020 Tumores malignos del hueso y de los cartílagos articulares;Ambos sexos;Marzo;32
020 Tumores malignos del hueso y de los cartílagos articulares;Ambos sexos;Abril;33
020 Tumores malignos del hueso y de los cartílagos articulares;Ambos sexos;Mayo;36
020 Tumores malignos del hueso y de los cartílagos articulares;Ambos sexos;Junio;31
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;Todos los meses;101
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;Enero;11
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;Febrero;15
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;Marzo;17
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;Abril;17
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;Mayo;22
020 Tumores malignos del hueso y de los cartílagos articulares;Hombres;Junio;19
020 Tumores malignos del hueso y de los cartílagos articulares;Mujeres;Todos los meses;85
020 Tumores malignos del hueso y de los cartílagos articulares;Mujeres;Enero;12
020 Tumores malignos del hueso y de los cartílagos articulares;Mujeres;Febrero;16
020 Tumores malignos del hueso y de los cartílagos articulares;Mujeres;Marzo;15
020 Tumores malignos del hueso y de los cartílagos articulares;Mujeres;Abril;16
020 Tumores malignos del hueso y de los cartílagos articulares;Mujeres;Mayo;14
020 Tumores malignos del hueso y de los cartílagos articulares;Mujeres;Junio;12
021 Melanoma maligno de la piel;Ambos sexos;Todos los meses;565
021 Melanoma maligno de la piel;Ambos sexos;Enero;104
021 Melanoma maligno de la piel;Ambos sexos;Febrero;76
021 Melanoma maligno de la piel;Ambos sexos;Marzo;94
021 Melanoma maligno de la piel;Ambos sexos;Abril;88
021 Melanoma maligno de la piel;Ambos sexos;Mayo;108
021 Melanoma maligno de la piel;Ambos sexos;Junio;95
021 Melanoma maligno de la piel;Hombres;Todos los meses;321
021 Melanoma maligno de la piel;Hombres;Enero;60
021 Melanoma maligno de la piel;Hombres;Febrero;37
021 Melanoma maligno de la piel;Hombres;Marzo;53
021 Melanoma maligno de la piel;Hombres;Abril;48
021 Melanoma maligno de la piel;Hombres;Mayo;65
021 Melanoma maligno de la piel;Hombres;Junio;58
021 Melanoma maligno de la piel;Mujeres;Todos los meses;244
021 Melanoma maligno de la piel;Mujeres;Enero;44
021 Melanoma maligno de la piel;Mujeres;Febrero;39
021 Melanoma maligno de la piel;Mujeres;Marzo;41
021 Melanoma maligno de la piel;Mujeres;Abril;40
021 Melanoma maligno de la piel;Mujeres;Mayo;43
021 Melanoma maligno de la piel;Mujeres;Junio;37
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Todos los meses;903
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Enero;175
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Febrero;144
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Marzo;136
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Abril;159
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Mayo;154
022 Otros tumores malignos de la piel y de los tejidos blandos;Ambos sexos;Junio;135
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Todos los meses;540
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Enero;104
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Febrero;78
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Marzo;82
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Abril;100
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Mayo;98
022 Otros tumores malignos de la piel y de los tejidos blandos;Hombres;Junio;78
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Todos los meses;363
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Enero;71
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Febrero;66
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Marzo;54
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Abril;59
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Mayo;56
022 Otros tumores malignos de la piel y de los tejidos blandos;Mujeres;Junio;57
023 Tumor maligno de la mama;Ambos sexos;Todos los meses;3.267
023 Tumor maligno de la mama;Ambos sexos;Enero;583
023 Tumor maligno de la mama;Ambos sexos;Febrero;549
023 Tumor maligno de la mama;Ambos sexos;Marzo;535
023 Tumor maligno de la mama;Ambos sexos;Abril;514
023 Tumor maligno de la mama;Ambos sexos;Mayo;565
023 Tumor maligno de la mama;Ambos sexos;Junio;521
023 Tumor maligno de la mama;Hombres;Todos los meses;55
023 Tumor maligno de la mama;Hombres;Enero;8
023 Tumor maligno de la mama;Hombres;Febrero;8
023 Tumor maligno de la mama;Hombres;Marzo;9
023 Tumor maligno de la mama;Hombres;Abril;7
023 Tumor maligno de la mama;Hombres;Mayo;8
023 Tumor maligno de la mama;Hombres;Junio;15
023 Tumor maligno de la mama;Mujeres;Todos los meses;3.212
023 Tumor maligno de la mama;Mujeres;Enero;575
023 Tumor maligno de la mama;Mujeres;Febrero;541
023 Tumor maligno de la mama;Mujeres;Marzo;526
023 Tumor maligno de la mama;Mujeres;Abril;507
023 Tumor maligno de la mama;Mujeres;Mayo;557
023 Tumor maligno de la mama;Mujeres;Junio;506
024 Tumor maligno del cuello del útero;Ambos sexos;Todos los meses;363
024 Tumor maligno del cuello del útero;Ambos sexos;Enero;66
024 Tumor maligno del cuello del útero;Ambos sexos;Febrero;54
024 Tumor maligno del cuello del útero;Ambos sexos;Marzo;67
024 Tumor maligno del cuello del útero;Ambos sexos;Abril;61
024 Tumor maligno del cuello del útero;Ambos sexos;Mayo;56
024 Tumor maligno del cuello del útero;Ambos sexos;Junio;59
024 Tumor maligno del cuello del útero;Hombres;Todos los meses;0
024 Tumor maligno del cuello del útero;Hombres;Enero;0
024 Tumor maligno del cuello del útero;Hombres;Febrero;0
024 Tumor maligno del cuello del útero;Hombres;Marzo;0
024 Tumor maligno del cuello del útero;Hombres;Abril;0
024 Tumor maligno del cuello del útero;Hombres;Mayo;0
024 Tumor maligno del cuello del útero;Hombres;Junio;0
024 Tumor maligno del cuello del útero;Mujeres;Todos los meses;363
024 Tumor maligno del cuello del útero;Mujeres;Enero;66
024 Tumor maligno del cuello del útero;Mujeres;Febrero;54
024 Tumor maligno del cuello del útero;Mujeres;Marzo;67
024 Tumor maligno del cuello del útero;Mujeres;Abril;61
024 Tumor maligno del cuello del útero;Mujeres;Mayo;56
024 Tumor maligno del cuello del útero;Mujeres;Junio;59
025 Tumor maligno de otras partes del útero;Ambos sexos;Todos los meses;865
025 Tumor maligno de otras partes del útero;Ambos sexos;Enero;150
025 Tumor maligno de otras partes del útero;Ambos sexos;Febrero;141
025 Tumor maligno de otras partes del útero;Ambos sexos;Marzo;138
025 Tumor maligno de otras partes del útero;Ambos sexos;Abril;158
025 Tumor maligno de otras partes del útero;Ambos sexos;Mayo;144
025 Tumor maligno de otras partes del útero;Ambos sexos;Junio;134
025 Tumor maligno de otras partes del útero;Hombres;Todos los meses;0
025 Tumor maligno de otras partes del útero;Hombres;Enero;0
025 Tumor maligno de otras partes del útero;Hombres;Febrero;0
025 Tumor maligno de otras partes del útero;Hombres;Marzo;0
025 Tumor maligno de otras partes del útero;Hombres;Abril;0
025 Tumor maligno de otras partes del útero;Hombres;Mayo;0
025 Tumor maligno de otras partes del útero;Hombres;Junio;0
025 Tumor maligno de otras partes del útero;Mujeres;Todos los meses;865
025 Tumor maligno de otras partes del útero;Mujeres;Enero;150
025 Tumor maligno de otras partes del útero;Mujeres;Febrero;141
025 Tumor maligno de otras partes del útero;Mujeres;Marzo;138
025 Tumor maligno de otras partes del útero;Mujeres;Abril;158
025 Tumor maligno de otras partes del útero;Mujeres;Mayo;144
025 Tumor maligno de otras partes del útero;Mujeres;Junio;134
026 Tumor maligno del ovario;Ambos sexos;Todos los meses;1.000
026 Tumor maligno del ovario;Ambos sexos;Enero;177
026 Tumor maligno del ovario;Ambos sexos;Febrero;146
026 Tumor maligno del ovario;Ambos sexos;Marzo;184
026 Tumor maligno del ovario;Ambos sexos;Abril;153
026 Tumor maligno del ovario;Ambos sexos;Mayo;186
026 Tumor maligno del ovario;Ambos sexos;Junio;154
026 Tumor maligno del ovario;Hombres;Todos los meses;0
026 Tumor maligno del ovario;Hombres;Enero;0
026 Tumor maligno del ovario;Hombres;Febrero;0
026 Tumor maligno del ovario;Hombres;Marzo;0
026 Tumor maligno del ovario;Hombres;Abril;0
026 Tumor maligno del ovario;Hombres;Mayo;0
026 Tumor maligno del ovario;Hombres;Junio;0
026 Tumor maligno del ovario;Mujeres;Todos los meses;1.000
026 Tumor maligno del ovario;Mujeres;Enero;177
026 Tumor maligno del ovario;Mujeres;Febrero;146
026 Tumor maligno del ovario;Mujeres;Marzo;184
026 Tumor maligno del ovario;Mujeres;Abril;153
026 Tumor maligno del ovario;Mujeres;Mayo;186
026 Tumor maligno del ovario;Mujeres;Junio;154
027 Tumores malignos de otros órganos genitales femeninos;Ambos sexos;Todos los meses;309
027 Tumores malignos de otros órganos genitales femeninos;Ambos sexos;Enero;41
027 Tumores malignos de otros órganos genitales femeninos;Ambos sexos;Febrero;57
027 Tumores malignos de otros órganos genitales femeninos;Ambos sexos;Marzo;63
027 Tumores malignos de otros órganos genitales femeninos;Ambos sexos;Abril;50
027 Tumores malignos de otros órganos genitales femeninos;Ambos sexos;Mayo;48
027 Tumores malignos de otros órganos genitales femeninos;Ambos sexos;Junio;50
027 Tumores malignos de otros órganos genitales femeninos;Hombres;Todos los meses;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;Enero;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;Febrero;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;Marzo;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;Abril;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;Mayo;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;Junio;0
027 Tumores malignos de otros órganos genitales femeninos;Mujeres;Todos los meses;309
027 Tumores malignos de otros órganos genitales femeninos;Mujeres;Enero;41
027 Tumores malignos de otros órganos genitales femeninos;Mujeres;Febrero;57
027 Tumores malignos de otros órganos genitales femeninos;Mujeres;Marzo;63
027 Tumores malignos de otros órganos genitales femeninos;Mujeres;Abril;50
027 Tumores malignos de otros órganos genitales femeninos;Mujeres;Mayo;48
027 Tumores malignos de otros órganos genitales femeninos;Mujeres;Junio;50
028 Tumor maligno de la próstata;Ambos sexos;Todos los meses;2.961
028 Tumor maligno de la próstata;Ambos sexos;Enero;549
028 Tumor maligno de la próstata;Ambos sexos;Febrero;483
028 Tumor maligno de la próstata;Ambos sexos;Marzo;517
028 Tumor maligno de la próstata;Ambos sexos;Abril;498
028 Tumor maligno de la próstata;Ambos sexos;Mayo;504
028 Tumor maligno de la próstata;Ambos sexos;Junio;410
028 Tumor maligno de la próstata;Hombres;Todos los meses;2.961
028 Tumor maligno de la próstata;Hombres;Enero;549
028 Tumor maligno de la próstata;Hombres;Febrero;483
028 Tumor maligno de la próstata;Hombres;Marzo;517
028 Tumor maligno de la próstata;Hombres;Abril;498
028 Tumor maligno de la próstata;Hombres;Mayo;504
028 Tumor maligno de la próstata;Hombres;Junio;410
028 Tumor maligno de la próstata;Mujeres;Todos los meses;0
028 Tumor maligno de la próstata;Mujeres;Enero;0
028 Tumor maligno de la próstata;Mujeres;Febrero;0
028 Tumor maligno de la próstata;Mujeres;Marzo;0
028 Tumor maligno de la próstata;Mujeres;Abril;0
028 Tumor maligno de la próstata;Mujeres;Mayo;0
028 Tumor maligno de la próstata;Mujeres;Junio;0
029 Tumores malignos de otros órganos genitales masculinos;Ambos sexos;Todos los meses;105
029 Tumores malignos de otros órganos genitales masculinos;Ambos sexos;Enero;18
029 Tumores malignos de otros órganos genitales masculinos;Ambos sexos;Febrero;17
029 Tumores malignos de otros órganos genitales masculinos;Ambos sexos;Marzo;21
029 Tumores malignos de otros órganos genitales masculinos;Ambos sexos;Abril;21
029 Tumores malignos de otros órganos genitales masculinos;Ambos sexos;Mayo;20
029 Tumores malignos de otros órganos genitales masculinos;Ambos sexos;Junio;8
029 Tumores malignos de otros órganos genitales masculinos;Hombres;Todos los meses;105
029 Tumores malignos de otros órganos genitales masculinos;Hombres;Enero;18
029 Tumores malignos de otros órganos genitales masculinos;Hombres;Febrero;17
029 Tumores malignos de otros órganos genitales masculinos;Hombres;Marzo;21
029 Tumores malignos de otros órganos genitales masculinos;Hombres;Abril;21
029 Tumores malignos de otros órganos genitales masculinos;Hombres;Mayo;20
029 Tumores malignos de otros órganos genitales masculinos;Hombres;Junio;8
029 Tumores malignos de otros órganos genitales masculinos;Mujeres;Todos los meses;0
029 Tumores malignos de otros órganos genitales masculinos;Mujeres;Enero;0
029 Tumores malignos de otros órganos genitales masculinos;Mujeres;Febrero;0
029 Tumores malignos de otros órganos genitales masculinos;Mujeres;Marzo;0
029 Tumores malignos de otros órganos genitales masculinos;Mujeres;Abril;0
029 Tumores malignos de otros órganos genitales masculinos;Mujeres;Mayo;0
029 Tumores malignos de otros órganos genitales masculinos;Mujeres;Junio;0
030 Tumor maligno del riñón, excepto pelvis renal;Ambos sexos;Todos los meses;1.091
030 Tumor maligno del riñón, excepto pelvis renal;Ambos sexos;Enero;195
030 Tumor maligno del riñón, excepto pelvis renal;Ambos sexos;Febrero;170
030 Tumor maligno del riñón, excepto pelvis renal;Ambos sexos;Marzo;178
030 Tumor maligno del riñón, excepto pelvis renal;Ambos sexos;Abril;168
030 Tumor maligno del riñón, excepto pelvis renal;Ambos sexos;Mayo;195
030 Tumor maligno del riñón, excepto pelvis renal;Ambos sexos;Junio;185
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;Todos los meses;748
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;Enero;132
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;Febrero;113
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;Marzo;114
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;Abril;130
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;Mayo;136
030 Tumor maligno del riñón, excepto pelvis renal;Hombres;Junio;123
030 Tumor maligno del riñón, excepto pelvis renal;Mujeres;Todos los meses;343
030 Tumor maligno del riñón, excepto pelvis renal;Mujeres;Enero;63
030 Tumor maligno del riñón, excepto pelvis renal;Mujeres;Febrero;57
030 Tumor maligno del riñón, excepto pelvis renal;Mujeres;Marzo;64
030 Tumor maligno del riñón, excepto pelvis renal;Mujeres;Abril;38
030 Tumor maligno del riñón, excepto pelvis renal;Mujeres;Mayo;59
030 Tumor maligno del riñón, excepto pelvis renal;Mujeres;Junio;62
031 Tumor maligno de la vejiga;Ambos sexos;Todos los meses;2.106
031 Tumor maligno de la vejiga;Ambos sexos;Enero;370
031 Tumor maligno de la vejiga;Ambos sexos;Febrero;365
031 Tumor maligno de la vejiga;Ambos sexos;Marzo;335
031 Tumor maligno de la vejiga;Ambos sexos;Abril;343
031 Tumor maligno de la vejiga;Ambos sexos;Mayo;351
031 Tumor maligno de la vejiga;Ambos sexos;Junio;342
031 Tumor maligno de la vejiga;Hombres;Todos los meses;1.656
031 Tumor maligno de la vejiga;Hombres;Enero;288
031 Tumor maligno de la vejiga;Hombres;Febrero;291
031 Tumor maligno de la vejiga;Hombres;Marzo;267
031 Tumor maligno de la vejiga;Hombres;Abril;269
031 Tumor maligno de la vejiga;Hombres;Mayo;275
031 Tumor maligno de la vejiga;Hombres;Junio;266
031 Tumor maligno de la vejiga;Mujeres;Todos los meses;450
031 Tumor maligno de la vejiga;Mujeres;Enero;82
031 Tumor maligno de la vejiga;Mujeres;Febrero;74
031 Tumor maligno de la vejiga;Mujeres;Marzo;68
031 Tumor maligno de la vejiga;Mujeres;Abril;74
031 Tumor maligno de la vejiga;Mujeres;Mayo;76
031 Tumor maligno de la vejiga;Mujeres;Junio;76
032 Otros tumores malignos de las vías urinarias;Ambos sexos;Todos los meses;1.023
032 Otros tumores malignos de las vías urinarias;Ambos sexos;Enero;191
032 Otros tumores malignos de las vías urinarias;Ambos sexos;Febrero;165
032 Otros tumores malignos de las vías urinarias;Ambos sexos;Marzo;161
032 Otros tumores malignos de las vías urinarias;Ambos sexos;Abril;163
032 Otros tumores malignos de las vías urinarias;Ambos sexos;Mayo;192
032 Otros tumores malignos de las vías urinarias;Ambos sexos;Junio;151
032 Otros tumores malignos de las vías urinarias;Hombres;Todos los meses;792
032 Otros tumores malignos de las vías urinarias;Hombres;Enero;144
032 Otros tumores malignos de las vías urinarias;Hombres;Febrero;129
032 Otros tumores malignos de las vías urinarias;Hombres;Marzo;128
032 Otros tumores malignos de las vías urinarias;Hombres;Abril;129
032 Otros tumores malignos de las vías urinarias;Hombres;Mayo;147
032 Otros tumores malignos de las vías urinarias;Hombres;Junio;115
032 Otros tumores malignos de las vías urinarias;Mujeres;Todos los meses;231
032 Otros tumores malignos de las vías urinarias;Mujeres;Enero;47
032 Otros tumores malignos de las vías urinarias;Mujeres;Febrero;36
032 Otros tumores malignos de las vías urinarias;Mujeres;Marzo;33
032 Otros tumores malignos de las vías urinarias;Mujeres;Abril;34
032 Otros tumores malignos de las vías urinarias;Mujeres;Mayo;45
032 Otros tumores malignos de las vías urinarias;Mujeres;Junio;36
033 Tumor maligno del encéfalo;Ambos sexos;Todos los meses;1.658
033 Tumor maligno del encéfalo;Ambos sexos;Enero;277
033 Tumor maligno del encéfalo;Ambos sexos;Febrero;236
033 Tumor maligno del encéfalo;Ambos sexos;Marzo;274
033 Tumor maligno del encéfalo;Ambos sexos;Abril;273
033 Tumor maligno del encéfalo;Ambos sexos;Mayo;304
033 Tumor maligno del encéfalo;Ambos sexos;Junio;294
033 Tumor maligno del encéfalo;Hombres;Todos los meses;944
033 Tumor maligno del encéfalo;Hombres;Enero;170
033 Tumor maligno del encéfalo;Hombres;Febrero;131
033 Tumor maligno del encéfalo;Hombres;Marzo;158
033 Tumor maligno del encéfalo;Hombres;Abril;151
033 Tumor maligno del encéfalo;Hombres;Mayo;161
033 Tumor maligno del encéfalo;Hombres;Junio;173
033 Tumor maligno del encéfalo;Mujeres;Todos los meses;714
033 Tumor maligno del encéfalo;Mujeres;Enero;107
033 Tumor maligno del encéfalo;Mujeres;Febrero;105
033 Tumor maligno del encéfalo;Mujeres;Marzo;116
033 Tumor maligno del encéfalo;Mujeres;Abril;122
033 Tumor maligno del encéfalo;Mujeres;Mayo;143
033 Tumor maligno del encéfalo;Mujeres;Junio;121
034 Otros tumores malignos neurológicos y endocrinos;Ambos sexos;Todos los meses;331
034 Otros tumores malignos neurológicos y endocrinos;Ambos sexos;Enero;57
034 Otros tumores malignos neurológicos y endocrinos;Ambos sexos;Febrero;51
034 Otros tumores malignos neurológicos y endocrinos;Ambos sexos;Marzo;68
034 Otros tumores malignos neurológicos y endocrinos;Ambos sexos;Abril;51
034 Otros tumores malignos neurológicos y endocrinos;Ambos sexos;Mayo;48
034 Otros tumores malignos neurológicos y endocrinos;Ambos sexos;Junio;56
034 Otros tumores malignos neurológicos y endocrinos;Hombres;Todos los meses;132
034 Otros tumores malignos neurológicos y endocrinos;Hombres;Enero;22
034 Otros tumores malignos neurológicos y endocrinos;Hombres;Febrero;24
034 Otros tumores malignos neurológicos y endocrinos;Hombres;Marzo;27
034 Otros tumores malignos neurológicos y endocrinos;Hombres;Abril;18
034 Otros tumores malignos neurológicos y endocrinos;Hombres;Mayo;16
034 Otros tumores malignos neurológicos y endocrinos;Hombres;Junio;25
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;Todos los meses;199
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;Enero;35
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;Febrero;27
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;Marzo;41
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;Abril;33
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;Mayo;32
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;Junio;31
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;Todos los meses;2.163
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;Enero;395
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;Febrero;309
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;Marzo;390
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;Abril;370
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;Mayo;335
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;Junio;364
