edad,genero,horas_estudio,asistencia,nivel_socioeconomico,acceso_internet,actividades_extracurriculares,estado_emocional,nota_promedio_anterior,apoyo_familiar,rendimiento_academico
19,1,3.6,94,1,0,0,1,61.4,1,Bajo
18,1,5.5,53,1,0,0,3,90.1,1,Bajo
21,1,0.4,55,1,0,1,3,82.2,1,Bajo
24,1,6.0,85,2,0,1,1,95.9,2,Alto
18,0,7.6,60,2,0,1,1,71.9,2,Bajo
16,0,0.1,70,2,1,0,3,75.3,1,Bajo
18,1,1.5,91,2,1,1,3,53.5,1,Bajo
22,0,4.3,97,2,1,1,1,68.0,3,Medio
23,0,1.7,74,2,0,1,2,52.4,2,Bajo
17,0,6.1,79,3,1,0,3,67.5,3,Medio
21,1,2.5,67,1,0,0,2,70.4,3,Medio
23,0,2.3,74,2,0,1,3,58.7,3,Bajo
18,1,0.0,70,3,0,1,3,92.8,1,Bajo
24,1,2.2,72,3,0,0,2,66.8,2,Medio
17,1,1.7,79,2,0,1,1,52.7,2,Bajo
19,0,2.7,93,1,0,1,1,69.5,1,Medio
15,0,1.2,95,2,1,0,3,77.4,2,Bajo
17,0,4.8,67,1,0,1,2,73.9,2,Medio
22,0,1.9,82,1,0,0,2,78.2,3,Bajo
22,1,6.7,94,2,1,1,2,94.1,3,Alto
18,1,2.3,84,1,1,0,3,51.5,3,Bajo
16,1,1.7,95,1,0,0,3,89.5,3,Bajo
22,0,0.5,71,1,1,0,2,68.8,1,Bajo
22,0,5.9,99,2,1,0,2,69.2,1,Medio
24,0,4.1,73,1,0,0,2,79.5,2,Medio
18,1,0.9,72,1,1,0,2,79.7,2,Bajo
17,1,1.8,50,3,0,1,3,55.3,2,Bajo
16,0,8.0,64,2,1,1,1,81.7,1,Medio
23,1,6.4,97,1,0,1,1,58.8,1,Bajo
15,1,2.8,77,2,1,1,1,64.7,2,Bajo
21,0,4.3,91,2,0,1,1,74.2,2,Medio
19,0,3.3,69,3,1,0,1,83.4,2,Medio
22,1,0.3,85,3,1,0,1,87.9,3,Bajo
18,0,6.2,92,1,0,0,2,86.0,2,Alto
21,1,5.7,65,1,1,0,2,76.0,1,Medio
19,0,3.3,54,1,1,0,1,58.5,2,Bajo
19,1,6.8,92,2,0,0,1,83.8,1,Medio
23,0,4.3,99,3,0,0,3,98.8,3,Medio
23,0,0.5,64,3,1,0,3,90.8,2,Bajo
23,0,2.1,51,1,1,0,3,71.5,2,Bajo
20,1,3.7,73,3,0,1,1,73.0,1,Medio
20,1,0.8,62,2,0,0,3,97.7,2,Bajo
19,0,4.6,72,1,1,0,3,53.4,1,Bajo
23,1,1.0,61,3,1,1,1,79.6,2,Bajo
24,1,1.6,95,1,0,1,1,57.1,2,Bajo
22,0,7.2,82,2,0,1,1,53.8,3,Bajo
21,0,8.0,93,2,1,1,2,64.2,2,Bajo
21,0,4.4,94,1,1,0,1,61.5,2,Bajo
20,1,5.0,74,1,1,0,3,52.3,3,Bajo
19,0,6.4,84,3,0,1,1,92.7,3,Alto
18,1,5.6,84,2,1,1,2,91.8,1,Medio
17,1,1.5,50,2,0,0,2,84.0,1,Bajo
17,1,3.3,92,1,0,1,3,88.4,1,Medio
20,0,4.3,53,3,0,1,2,53.3,3,Bajo
18,0,2.9,80,1,1,0,3,63.6,1,Bajo
20,1,1.4,77,1,1,0,2,79.6,2,Bajo
17,1,5.9,60,1,0,1,2,94.6,1,Bajo
18,0,1.6,81,2,1,0,1,85.3,3,Bajo
23,0,2.1,51,1,1,1,2,50.9,3,Bajo
19,0,2.3,93,1,0,1,2,62.0,1,Bajo
21,0,1.3,62,3,1,1,1,70.2,2,Bajo
24,0,6.8,66,1,0,1,1,81.1,1,Medio
16,0,4.9,53,3,1,0,2,83.2,1,Bajo
19,0,6.7,80,1,1,1,1,80.5,2,Medio
23,0,3.9,87,2,0,0,2,53.5,3,Bajo
17,0,4.2,52,1,1,1,2,87.9,1,Bajo
23,1,4.9,92,2,1,0,2,83.5,2,Medio
20,0,3.0,61,1,1,0,1,60.7,3,Bajo
18,0,4.0,93,2,1,0,1,74.8,2,Medio
21,1,4.4,67,2,0,1,2,62.8,3,Bajo
22,0,7.6,79,1,0,1,1,84.3,2,Medio
20,0,7.1,95,3,0,1,3,60.8,3,Bajo
19,1,1.0,60,2,0,0,1,51.0,2,Bajo
20,0,0.3,73,2,1,0,1,71.6,2,Bajo
19,1,5.4,70,1,1,1,1,52.2,2,Bajo
22,1,0.4,98,3,0,1,3,52.2,2,Bajo
15,0,0.5,97,2,1,0,2,59.6,1,Bajo
21,1,1.3,84,1,0,1,2,86.1,3,Bajo
24,1,2.8,53,2,0,1,3,97.1,1,Bajo
24,1,3.5,75,1,1,0,1,75.6,1,Medio
16,1,4.2,57,1,1,0,1,83.9,3,Bajo
23,0,7.9,73,3,0,1,1,52.5,3,Bajo
15,1,3.1,92,1,1,0,3,89.5,2,Medio
24,1,1.9,94,3,0,0,1,72.4,1,Bajo
20,0,4.6,61,1,1,0,3,74.1,3,Medio
23,1,1.7,54,1,0,1,1,90.1,2,Bajo
15,0,7.5,65,2,1,0,2,55.8,3,Bajo
18,1,2.1,81,3,1,0,1,72.8,2,Medio
18,0,7.9,78,2,1,1,3,77.0,1,Medio
23,1,3.3,82,3,0,1,2,80.7,2,Medio
19,0,6.5,90,3,0,0,2,85.4,3,Alto
19,1,5.2,63,2,0,1,2,81.6,2,Medio
20,0,7.5,74,3,0,0,3,92.4,2,Medio
15,0,5.0,57,3,0,0,1,99.1,3,Bajo
15,0,4.6,76,2,0,0,1,50.8,3,Bajo
23,0,5.2,84,3,0,1,3,70.7,2,Medio
17,0,6.3,71,2,0,0,1,70.5,3,Medio
18,1,7.2,56,1,1,0,3,87.5,3,Bajo
15,1,2.1,85,2,1,1,1,64.5,3,Bajo
23,0,1.6,96,3,1,0,2,50.8,2,Bajo
22,0,0.3,61,1,1,0,2,53.7,2,Bajo
16,1,3.0,58,1,0,1,3,96.2,1,Bajo
22,1,6.8,99,1,1,1,3,95.9,1,Medio
21,0,0.6,94,2,1,0,3,62.8,1,Bajo
20,1,4.3,84,2,1,1,2,96.8,1,Medio
15,0,5.6,88,1,0,1,1,93.8,3,Alto
21,0,6.7,68,3,1,1,3,84.5,2,Medio
24,0,4.7,77,3,1,0,3,62.2,2,Bajo
21,1,1.5,78,1,0,0,2,55.9,2,Bajo
23,0,7.7,57,3,1,0,2,58.4,2,Bajo
15,1,0.8,92,3,0,0,3,59.9,1,Bajo
16,1,6.2,76,2,0,0,2,90.4,1,Medio
23,1,0.7,54,3,0,1,2,66.0,2,Bajo
23,1,1.1,97,2,1,0,1,83.9,2,Bajo
20,0,7.2,78,1,1,1,1,88.4,3,Medio
20,0,6.0,84,3,1,1,3,71.7,1,Medio
18,1,2.9,82,3,0,1,2,60.7,3,Bajo
18,0,5.1,81,2,1,0,1,73.7,2,Medio
19,1,3.7,70,2,1,1,1,56.7,2,Bajo
17,0,0.5,59,1,1,1,3,90.8,1,Bajo
15,0,5.8,91,1,1,0,2,90.3,3,Alto
15,0,6.1,65,3,1,0,2,96.7,3,Medio
21,0,7.1,60,2,0,0,3,90.6,2,Bajo
15,0,4.3,68,2,0,1,3,82.4,1,Medio
15,0,5.4,62,3,1,1,1,68.9,3,Medio
17,1,3.5,64,2,1,1,1,74.8,3,Medio
24,0,2.6,91,2,0,1,3,59.3,3,Bajo
18,0,3.3,85,2,1,0,3,83.7,2,Medio
18,0,7.3,81,2,0,0,3,91.7,2,Alto
16,1,1.3,68,3,0,0,2,84.9,2,Bajo
15,0,2.0,64,1,1,0,2,97.8,1,Bajo
17,0,4.8,87,1,1,1,1,98.7,2,Medio
18,0,0.9,71,3,1,0,1,84.8,2,Bajo
17,1,7.1,98,1,0,1,3,87.3,3,Alto
22,0,0.4,62,2,0,0,3,66.4,2,Bajo
24,1,6.0,69,3,0,1,3,52.3,1,Bajo
15,1,3.0,98,1,1,0,1,92.9,2,Medio
16,0,0.4,64,2,1,0,1,84.4,2,Bajo
21,0,6.7,56,1,0,1,1,98.2,2,Bajo
18,1,5.1,71,3,1,0,3,50.0,2,Bajo
22,1,0.1,92,1,0,1,1,85.8,3,Bajo
17,0,2.1,99,1,0,1,1,63.4,1,Bajo
20,0,2.8,69,1,0,1,2,72.2,2,Medio
23,1,2.6,68,3,1,1,2,72.6,2,Medio
15,1,4.0,76,2,1,0,3,51.8,2,Bajo
15,1,4.2,57,3,1,0,2,92.6,3,Bajo
22,1,3.2,67,1,1,1,1,54.4,3,Bajo
17,0,2.7,59,3,0,0,1,97.6,3,Bajo
19,1,4.0,99,1,0,0,2,78.6,3,Medio
15,0,0.3,98,2,1,1,2,63.7,3,Bajo
19,1,5.2,90,2,1,0,2,81.9,1,Medio
20,1,4.8,84,1,0,0,1,96.4,2,Medio
22,0,2.2,64,3,1,1,1,89.0,2,Medio
17,0,1.4,72,1,1,0,3,58.3,2,Bajo
17,0,0.6,61,3,0,1,2,65.5,3,Bajo
24,0,4.7,98,3,0,0,3,55.4,1,Bajo
23,1,4.6,76,1,1,1,3,86.6,2,Medio
18,0,4.3,55,2,1,0,1,60.0,2,Bajo
18,0,7.9,73,2,1,1,2,87.3,1,Medio
21,0,4.3,71,3,0,1,3,56.6,2,Bajo
16,1,5.8,58,1,0,1,3,88.1,3,Bajo
22,1,0.9,59,1,0,0,2,75.7,1,Bajo
20,0,2.4,52,1,1,1,3,91.9,3,Bajo
17,1,2.2,55,2,1,0,1,75.9,1,Bajo
23,1,4.6,75,2,1,0,2,62.4,3,Bajo
19,0,2.6,94,3,0,0,2,84.0,1,Medio
22,1,5.1,63,2,0,1,2,65.0,3,Bajo
21,0,5.5,85,2,1,1,2,54.6,2,Bajo
22,0,0.3,91,1,1,1,3,91.3,3,Bajo
21,0,5.1,68,1,0,0,1,86.5,1,Medio
17,1,0.9,97,2,0,1,3,52.9,3,Bajo
16,0,3.7,88,3,1,1,1,96.3,2,Medio
21,1,5.8,72,1,1,1,1,60.2,2,Bajo
17,1,5.6,54,3,0,1,2,87.2,2,Bajo
17,1,2.4,93,2,1,1,1,51.1,3,Bajo
16,1,2.2,64,2,1,1,2,73.9,2,Medio
18,0,3.5,79,1,0,0,3,62.8,1,Bajo
22,0,1.5,82,1,0,0,2,77.8,2,Bajo
15,1,7.8,87,1,1,1,1,63.5,1,Bajo
15,0,2.8,68,1,0,0,1,74.8,3,Medio
19,1,7.4,54,2,1,0,2,50.6,2,Bajo
19,1,7.3,58,2,0,1,3,95.4,3,Bajo
15,0,2.9,56,1,1,0,3,90.4,3,Bajo
20,1,2.0,73,3,0,0,2,51.2,1,Bajo
15,0,6.2,90,1,0,1,3,99.3,2,Alto
19,1,1.8,65,1,1,1,3,96.4,2,Bajo
23,1,4.2,86,1,1,1,3,83.0,2,Medio
19,1,0.9,59,3,0,0,2,69.7,3,Bajo
20,1,3.1,70,1,0,0,2,94.2,2,Medio
22,0,0.6,70,2,1,0,1,92.9,3,Bajo
15,1,2.3,96,3,1,1,1,71.1,3,Medio
16,1,5.3,64,2,1,1,1,85.2,1,Medio
23,0,7.9,62,3,1,1,2,90.5,3,Medio
17,1,2.0,99,3,0,1,2,90.9,1,Bajo
20,1,3.8,56,1,0,1,2,98.7,2,Bajo
19,1,3.6,89,2,1,0,2,90.0,1,Medio
16,1,1.5,57,3,1,1,2,77.7,1,Bajo
21,1,4.9,92,2,0,0,3,90.2,3,Medio
18,1,5.8,90,3,0,0,1,65.1,2,Medio
15,0,1.2,87,1,1,1,2,62.4,1,Bajo
18,1,6.1,51,3,1,1,1,64.8,3,Bajo
20,0,5.6,86,2,0,0,2,77.2,2,Medio
21,1,1.6,71,2,0,0,1,79.4,1,Bajo
21,0,5.2,53,2,0,0,2,66.0,2,Bajo
21,0,3.1,96,2,0,1,2,74.1,2,Medio
17,0,5.4,56,3,1,1,1,78.9,1,Bajo
20,0,4.0,50,3,1,1,3,63.9,1,Bajo
22,1,0.4,68,3,0,0,2,52.8,2,Bajo
18,1,6.3,79,3,1,1,3,55.3,3,Bajo
22,1,4.4,99,1,0,0,3,80.6,2,Medio
16,0,5.8,51,3,0,0,1,96.1,2,Bajo
24,0,1.0,62,1,1,1,2,72.3,2,Bajo
23,0,5.8,77,3,0,1,1,75.4,3,Medio
23,0,3.3,63,3,0,1,2,52.0,3,Bajo
22,0,6.4,52,3,1,1,3,97.6,1,Bajo
24,0,4.8,65,1,0,1,3,92.9,3,Medio
24,0,2.8,74,3,1,1,3,74.4,1,Medio
15,1,1.6,95,3,0,0,2,94.1,1,Bajo
16,0,6.5,96,3,0,1,2,71.8,1,Medio
20,1,4.5,52,2,0,0,3,72.9,3,Bajo
24,1,7.9,83,2,1,1,3,84.2,1,Medio
19,0,3.0,52,2,0,0,3,66.2,2,Bajo
23,0,5.5,90,1,1,1,3,94.1,1,Medio
19,0,5.0,78,3,1,1,2,60.7,1,Bajo
16,0,5.1,89,1,1,0,2,98.0,2,Alto
24,1,5.9,68,3,1,1,2,96.4,1,Medio
18,0,1.1,69,1,0,1,1,67.3,1,Bajo
23,1,4.4,70,2,0,1,3,83.0,3,Medio
15,0,4.1,69,3,1,1,1,74.8,1,Medio
15,1,2.7,77,2,0,0,3,79.2,1,Medio
21,1,3.5,96,2,0,1,1,58.6,2,Bajo
17,1,4.2,76,3,1,1,2,87.4,3,Medio
24,1,2.6,93,1,0,0,3,75.5,1,Medio
16,1,2.3,95,2,1,1,3,55.2,2,Bajo
23,0,5.9,99,2,0,1,3,90.0,3,Alto
17,0,0.5,74,3,1,0,2,95.1,2,Bajo
16,0,2.5,51,3,1,0,2,50.3,2,Bajo
22,1,5.2,92,1,1,0,3,90.3,1,Medio
24,0,1.7,73,2,1,0,1,78.4,3,Bajo
20,1,4.6,82,2,0,1,2,52.5,1,Bajo
20,1,2.4,68,1,0,1,1,72.3,1,Medio
24,0,6.7,75,3,0,0,1,70.8,1,Medio
21,1,2.8,95,3,0,1,2,59.6,3,Bajo
21,0,1.8,90,3,0,1,2,68.0,1,Bajo
20,1,4.2,52,1,1,1,2,75.1,1,Bajo
18,0,1.1,76,3,0,0,2,77.5,1,Bajo
23,1,6.4,63,3,0,1,1,57.3,2,Bajo
20,0,5.4,69,1,0,0,3,79.3,1,Medio
18,0,6.2,84,2,0,1,3,62.8,3,Bajo
17,1,3.2,72,2,0,1,3,58.2,1,Bajo
18,1,6.7,74,1,0,1,1,66.5,3,Medio
17,1,3.9,53,3,0,0,2,81.8,3,Bajo
16,0,0.8,51,3,1,1,1,98.0,1,Bajo
19,0,1.8,51,2,1,1,3,91.2,3,Bajo
16,1,5.7,74,3,1,0,3,93.3,3,Medio
20,0,7.2,96,2,0,1,2,60.8,2,Bajo
17,0,0.8,72,2,1,0,1,73.1,1,Bajo
20,1,6.9,70,3,1,0,3,72.3,1,Medio
24,0,6.4,94,2,0,1,2,73.0,3,Medio
23,0,2.9,74,2,1,0,3,60.0,2,Bajo
15,0,5.5,76,1,1,1,2,92.2,3,Medio
20,1,1.5,60,3,0,1,1,66.6,3,Bajo
23,0,6.5,63,1,0,0,2,73.7,1,Medio
18,1,5.3,66,3,1,1,3,68.1,3,Medio
16,0,3.5,64,3,0,0,3,67.4,2,Medio
18,0,6.9,95,3,1,0,2,80.7,3,Alto
15,0,1.1,80,3,1,0,3,99.7,3,Bajo
17,0,6.8,83,2,1,0,3,94.2,1,Medio
24,0,0.2,85,1,1,0,3,96.4,3,Bajo
23,1,6.0,89,1,0,1,3,71.7,1,Medio
24,0,4.6,93,2,0,1,2,59.5,1,Bajo
19,0,5.6,62,1,1,1,2,50.7,3,Bajo
20,0,3.3,67,1,0,1,1,52.2,2,Bajo
17,0,6.9,66,3,0,0,3,86.3,3,Medio
19,1,2.5,94,3,1,1,1,68.2,1,Medio
22,0,2.2,93,3,0,0,2,82.7,2,Medio
20,0,2.4,88,3,1,1,3,77.6,2,Medio
18,0,6.2,77,2,1,0,3,99.0,2,Medio
16,0,4.0,75,2,0,1,2,85.6,3,Medio
23,1,4.3,97,2,0,0,2,99.1,3,Medio
15,1,6.7,63,1,0,1,2,65.0,2,Bajo
15,0,6.7,86,3,1,1,1,66.6,1,Medio
18,0,1.3,60,1,0,0,2,75.5,3,Bajo
21,0,4.4,81,3,1,1,1,74.8,1,Medio
15,0,1.0,73,3,1,1,2,76.0,2,Bajo
23,0,6.9,80,1,1,0,1,92.6,2,Medio
18,1,6.7,89,1,0,0,3,85.7,2,Alto
17,1,6.8,90,1,0,0,2,58.9,1,Bajo
15,0,5.6,99,2,1,0,1,79.3,1,Medio
24,0,3.7,57,1,1,1,3,58.8,1,Bajo
18,0,3.2,88,2,0,1,2,71.1,3,Medio
23,1,3.2,57,1,0,1,1,95.5,3,Bajo
24,0,0.5,96,2,0,0,2,53.7,1,Bajo
20,0,7.6,80,1,1,1,3,98.2,1,Medio
20,1,3.6,68,2,0,0,3,61.1,1,Bajo
15,1,7.4,85,1,0,0,2,58.8,2,Bajo
24,0,7.0,88,3,0,0,1,74.0,3,Medio
16,0,6.6,81,1,1,1,1,94.7,3,Alto
20,0,4.7,70,1,0,1,2,59.4,2,Bajo
16,0,0.8,72,3,1,1,1,50.4,1,Bajo
17,1,2.6,85,3,0,0,1,70.9,3,Medio
18,1,4.8,64,2,0,1,3,78.7,2,Medio
19,0,0.1,51,3,0,1,1,87.4,1,Bajo
23,1,0.3,61,2,0,1,2,52.8,2,Bajo
18,0,5.4,87,1,0,1,3,76.1,3,Medio
23,1,7.1,55,3,0,1,2,58.3,2,Bajo
24,0,6.8,95,2,1,1,3,71.5,1,Medio
17,0,1.3,87,1,0,1,1,98.5,3,Bajo
22,1,7.3,50,2,1,1,2,99.0,3,Bajo
15,1,5.6,87,1,0,1,2,99.3,3,Alto
23,1,5.7,99,2,0,1,1,68.2,3,Medio
23,1,2.4,75,1,1,1,3,85.1,2,Medio
24,1,5.7,97,1,0,1,2,93.6,2,Alto
16,0,5.7,72,2,1,1,2,75.3,3,Medio
18,0,4.8,50,1,1,1,1,73.7,3,Bajo
22,1,2.9,70,2,1,1,2,86.1,2,Medio
21,0,6.5,68,1,1,0,3,75.1,1,Medio
15,0,7.5,78,3,0,0,3,79.1,3,Medio
19,0,7.0,99,3,1,1,2,72.7,3,Medio
21,0,1.9,75,2,0,0,1,86.6,1,Bajo
18,1,3.6,83,3,1,1,1,92.5,3,Medio
15,0,2.7,66,3,1,0,1,72.7,2,Medio
23,0,5.7,67,1,0,0,3,74.6,1,Medio
19,0,6.7,81,3,1,0,3,96.1,3,Alto
16,0,1.7,53,2,0,0,1,78.2,1,Bajo
22,1,7.6,79,2,1,0,1,73.7,2,Medio
16,0,5.4,80,1,0,0,1,98.5,1,Medio
17,0,1.7,67,3,0,0,2,53.3,1,Bajo
24,0,3.0,54,1,1,1,2,81.2,2,Bajo
15,1,0.8,81,3,1,1,3,51.3,3,Bajo
16,1,4.8,78,3,0,0,1,72.4,1,Medio
21,0,1.4,61,3,1,1,1,66.2,2,Bajo
24,0,5.5,64,1,0,0,3,71.7,1,Medio
16,1,5.9,64,1,1,0,1,95.2,2,Medio
20,0,3.8,84,3,0,0,3,75.5,2,Medio
17,1,0.8,84,2,1,1,3,79.2,2,Bajo
18,0,4.9,92,3,1,0,3,66.5,1,Medio
22,0,3.0,63,2,1,1,1,99.3,1,Medio
17,1,7.6,88,3,0,1,2,98.7,2,Alto
24,0,4.1,67,3,0,1,1,93.6,2,Medio
20,0,0.6,87,2,0,0,1,85.4,3,Bajo
15,0,5.1,71,2,1,1,3,71.4,2,Medio
21,1,6.2,87,1,0,1,1,56.3,1,Bajo
22,1,1.3,60,2,0,0,3,95.5,1,Bajo
22,0,3.6,52,3,1,0,2,76.7,3,Bajo
17,0,5.9,63,1,1,1,3,78.1,3,Medio
24,0,0.2,93,3,0,1,1,55.1,1,Bajo
15,0,0.2,74,1,0,0,2,89.6,2,Bajo
23,1,5.4,63,3,0,1,3,77.6,2,Medio
20,1,5.8,96,2,0,0,1,62.9,1,Bajo
23,1,6.8,80,3,1,0,1,58.6,1,Bajo
21,0,3.2,74,3,0,1,3,80.7,2,Medio
15,0,3.1,90,1,0,1,2,93.2,2,Medio
15,1,4.4,68,2,0,1,1,76.3,1,Medio
20,0,6.1,61,2,0,0,3,93.0,2,Medio
19,0,5.1,56,3,1,1,2,59.4,1,Bajo
23,1,2.6,98,3,1,0,1,77.7,2,Medio
16,0,2.8,63,1,1,0,1,72.1,3,Medio
22,1,6.1,78,1,0,0,2,66.1,2,Medio
19,0,4.3,96,2,0,0,3,55.0,3,Bajo
16,0,0.8,63,2,0,0,2,60.3,3,Bajo
24,0,1.2,72,1,0,0,2,94.4,1,Bajo
20,0,6.8,63,1,0,1,2,68.1,3,Medio
24,0,8.0,72,3,1,0,2,92.9,1,Medio
22,1,2.7,57,3,1,1,2,90.7,2,Bajo
18,1,3.1,62,1,1,0,3,65.2,1,Medio
16,0,1.2,85,1,0,1,3,73.9,2,Bajo
19,0,1.9,93,1,0,0,1,72.7,1,Bajo
16,1,3.4,50,3,0,0,3,94.9,2,Bajo
16,1,2.3,86,2,0,0,2,80.7,3,Medio
20,0,5.6,75,1,1,0,2,71.9,2,Medio
24,1,4.3,53,3,1,1,2,76.0,2,Bajo
23,1,6.6,65,2,0,0,1,92.1,1,Medio
18,1,5.8,74,1,0,0,3,65.4,1,Medio
20,0,1.0,68,2,1,0,2,70.8,3,Bajo
21,1,1.0,69,3,1,1,1,56.5,3,Bajo
20,1,7.2,75,3,0,0,3,78.4,1,Medio
22,1,6.6,81,1,1,0,1,98.5,3,Alto
18,1,3.7,52,2,0,1,3,67.2,2,Bajo
15,0,1.0,97,2,0,0,1,97.0,1,Bajo
21,1,7.2,56,2,0,0,1,90.2,3,Bajo
17,1,1.8,81,2,1,0,3,89.6,2,Bajo
20,1,0.3,54,3,1,0,1,87.1,3,Bajo
16,0,7.4,70,2,1,1,1,88.0,3,Medio
23,0,6.5,79,1,1,0,2,66.9,1,Medio
15,0,5.5,69,3,1,0,2,91.6,3,Medio
20,1,0.3,78,1,0,0,2,98.7,2,Bajo
20,1,4.2,73,2,1,1,2,55.2,3,Bajo
19,1,5.2,50,2,0,0,3,56.3,1,Bajo
19,0,6.1,92,3,0,1,2,50.6,1,Bajo
15,1,3.8,74,2,0,0,2,85.1,1,Medio
24,1,7.6,76,1,0,1,2,53.6,2,Bajo
19,0,2.0,74,3,0,1,2,76.1,2,Bajo
16,1,0.6,70,2,0,0,3,84.4,3,Bajo
21,1,2.7,66,1,0,1,1,79.7,1,Medio
17,0,5.3,77,2,0,1,1,80.4,1,Medio
18,0,5.9,81,2,0,1,3,98.1,1,Medio
17,0,5.9,93,2,0,1,3,65.1,3,Medio
17,0,0.9,99,2,0,1,1,81.0,3,Bajo
18,0,7.1,83,1,1,0,2,81.3,1,Medio
19,1,2.2,71,3,0,0,2,63.8,3,Bajo
15,0,1.7,91,1,0,0,3,65.1,3,Bajo
18,1,4.9,68,1,0,0,3,87.0,1,Medio
22,1,1.7,97,3,1,0,3,65.7,2,Bajo
24,0,4.1,57,3,0,0,2,61.6,3,Bajo
21,0,3.3,51,2,0,0,1,99.2,3,Bajo
23,1,1.9,54,2,1,1,2,54.6,3,Bajo
19,1,2.3,77,1,1,1,1,65.6,3,Medio
24,1,3.4,53,2,0,0,3,92.0,3,Bajo
18,0,2.8,85,3,0,0,1,60.1,3,Bajo
22,1,3.1,50,3,0,1,1,62.9,2,Bajo
23,0,5.9,64,2,0,1,2,58.1,3,Bajo
21,1,1.3,62,1,1,0,2,79.3,2,Bajo
21,1,5.0,80,2,0,0,1,50.1,3,Bajo
19,1,5.4,66,3,0,1,3,93.8,2,Medio
18,0,6.4,55,3,1,0,2,68.8,2,Bajo
24,0,6.8,73,1,1,0,2,75.1,1,Medio
15,1,1.3,62,3,0,1,2,62.4,2,Bajo
24,1,1.1,70,1,1,1,2,52.1,3,Bajo
24,1,4.9,73,1,0,1,2,98.1,2,Medio
21,0,6.1,71,2,0,0,1,94.0,2,Medio
15,0,2.2,78,2,0,1,1,63.8,3,Bajo
15,0,4.2,73,1,0,1,1,55.0,1,Bajo
19,0,6.2,93,2,0,1,3,72.5,3,Medio
23,0,6.1,61,3,0,0,2,77.5,3,Medio
20,1,5.2,69,1,0,0,2,78.5,3,Medio
17,1,0.6,91,1,1,1,3,95.8,2,Bajo
17,1,0.4,83,2,0,0,3,83.6,1,Bajo
21,0,3.1,64,1,0,0,2,80.8,3,Medio
20,1,0.2,53,1,1,1,2,54.3,1,Bajo
23,0,7.2,63,1,1,1,1,76.2,3,Medio
20,0,0.2,50,2,0,0,1,77.6,2,Bajo
19,1,0.2,82,1,0,1,2,81.5,2,Bajo
24,1,1.3,99,1,1,1,2,58.0,2,Bajo
21,0,5.0,96,1,0,1,2,98.0,2,Medio
15,0,4.3,92,2,0,1,3,78.6,1,Medio
21,1,5.3,99,1,1,1,1,70.8,2,Medio
17,0,7.1,78,1,1,1,2,83.2,1,Medio
23,0,3.6,59,2,1,0,2,57.2,2,Bajo
20,0,0.4,85,1,1,1,3,71.8,3,Bajo
23,1,6.1,63,1,0,0,2,86.0,2,Medio
19,0,6.5,71,1,1,1,1,97.0,2,Medio
21,0,0.4,99,1,1,0,1,72.3,3,Bajo
18,0,1.9,82,1,1,0,2,81.5,2,Bajo
21,0,6.2,77,3,0,1,2,71.5,1,Medio
15,0,3.0,56,1,1,1,1,76.2,3,Bajo
21,0,3.8,85,3,1,1,3,75.1,2,Medio
22,0,6.6,85,3,0,1,2,84.8,1,Medio
19,1,0.8,99,3,1,1,2,82.7,3,Bajo
16,1,5.4,90,3,1,0,3,50.4,1,Bajo
19,1,1.7,83,3,0,0,2,54.2,2,Bajo
20,0,0.5,86,2,1,1,3,88.0,2,Bajo
16,1,5.3,55,2,0,1,1,58.1,3,Bajo
20,1,1.0,84,2,0,0,3,88.5,3,Bajo
20,0,6.0,76,3,1,0,2,90.8,2,Medio
15,1,1.6,79,1,0,1,2,96.7,2,Bajo
15,0,0.4,81,1,1,0,2,90.7,3,Bajo
24,0,0.8,68,1,1,0,3,76.7,2,Bajo
17,0,6.7,71,1,0,0,2,60.6,1,Bajo
24,1,3.0,70,2,0,1,2,56.4,1,Bajo
24,0,2.4,54,3,0,0,2,93.7,1,Bajo
17,1,3.9,70,2,0,1,3,69.5,3,Medio
18,0,5.1,90,1,1,1,1,52.6,2,Bajo
16,0,0.3,69,3,0,1,3,67.4,1,Bajo
23,1,7.2,87,1,1,1,3,93.4,3,Alto
24,0,7.7,80,2,1,1,1,78.1,1,Medio
21,1,3.3,86,2,1,1,2,82.1,1,Medio
21,0,3.3,55,2,1,1,2,62.7,3,Bajo
20,0,7.0,80,1,0,1,3,51.0,2,Bajo
17,0,3.4,96,3,0,0,2,95.8,1,Medio
20,0,6.8,92,3,0,0,1,53.7,1,Bajo
22,0,0.2,73,2,1,1,2,100.0,3,Bajo
22,0,3.9,67,3,1,1,1,93.5,1,Medio
23,0,7.6,78,1,1,0,1,55.8,2,Bajo
15,0,2.0,61,3,1,1,2,100.0,1,Bajo
15,1,2.1,61,1,1,1,3,90.4,1,Medio
17,1,5.0,78,2,1,0,2,92.4,3,Medio
17,1,7.4,56,2,1,1,3,90.5,1,Bajo
24,0,1.6,65,2,1,0,2,96.4,3,Bajo
22,1,7.4,61,3,0,1,2,87.8,1,Medio
24,1,5.3,70,1,0,1,3,76.3,3,Medio
15,0,7.9,53,2,1,0,2,50.0,2,Bajo
16,1,5.9,91,1,1,1,3,64.0,3,Bajo
16,0,5.3,66,2,1,0,1,80.0,2,Medio
17,1,6.5,77,1,0,1,1,65.6,3,Medio
20,1,1.4,80,2,1,1,2,70.5,1,Bajo
15,1,7.6,96,1,1,0,3,55.4,2,Bajo
